code;type;group;useable_as_grid_filter;label-fr_FR;label-en_US;label-ru_RU;label-it_IT;localizable;scopable;allowed_extensions;metric_family;default_metric_unit
attr_50;pim_catalog_date;attr_gr_3;0;"pim_catalog_text dolorem non";"pim_catalog_text quod doloribus";"pim_catalog_text non alias";"pim_catalog_text voluptas velit";0;0;;;
attr_51;pim_catalog_image;attr_gr_1;0;"pim_catalog_text esse eligendi";"pim_catalog_text a expedita";"pim_catalog_text esse aperiam";"pim_catalog_text architecto et";0;0;jpg,png;;
attr_52;pim_catalog_simpleselect;attr_gr_13;0;"pim_catalog_text qui ex";"pim_catalog_text nulla nesciunt";"pim_catalog_text dolorum veritatis";"pim_catalog_text quos sit";0;0;;;
attr_53;pim_catalog_boolean;attr_gr_6;0;"pim_catalog_text laudantium aut";"pim_catalog_text animi ut";"pim_catalog_text et doloremque";"pim_catalog_text nihil error";0;0;;;
attr_54;pim_catalog_date;attr_gr_0;1;"pim_catalog_text vero aut";"pim_catalog_text sed et";"pim_catalog_text omnis sunt";"pim_catalog_text dolorem nobis";0;0;;;
attr_55;pim_catalog_multiselect;attr_gr_14;0;"pim_catalog_text autem recusandae";"pim_catalog_text omnis ab";"pim_catalog_text praesentium impedit";"pim_catalog_text similique voluptas";0;0;;;
attr_56;pim_catalog_image;attr_gr_10;0;"pim_catalog_text expedita ut";"pim_catalog_text odit totam";"pim_catalog_text corrupti aliquid";"pim_catalog_text molestiae rerum";0;0;pdf,png;;
attr_57;pim_catalog_number;attr_gr_10;0;"pim_catalog_text nihil sed";"pim_catalog_text adipisci aut";"pim_catalog_text accusamus aspernatur";"pim_catalog_text natus qui";0;0;;;
attr_58;pim_catalog_file;attr_gr_7;0;"pim_catalog_text sit odit";"pim_catalog_text quasi odit";"pim_catalog_text autem sunt";"pim_catalog_text est omnis";0;0;pdf,png;;
attr_59;pim_catalog_multiselect;attr_gr_2;0;"pim_catalog_text iure tempora";"pim_catalog_text maxime error";"pim_catalog_text nihil autem";"pim_catalog_text ut qui";0;0;;;
attr_60;pim_catalog_metric;attr_gr_9;1;"pim_catalog_text qui autem";"pim_catalog_text aliquam quo";"pim_catalog_text blanditiis nostrum";"pim_catalog_text est exercitationem";1;0;;Length;METER
attr_61;pim_catalog_textarea;attr_gr_6;0;"pim_catalog_text voluptates pariatur";"pim_catalog_text tempore qui";"pim_catalog_text eos aliquam";"pim_catalog_text recusandae odit";0;0;;;
attr_62;pim_catalog_simpleselect;attr_gr_1;0;"pim_catalog_text doloribus sunt";"pim_catalog_text qui ut";"pim_catalog_text ea ut";"pim_catalog_text commodi iste";0;0;;;
attr_63;pim_catalog_text;attr_gr_5;0;"pim_catalog_text mollitia officiis";"pim_catalog_text est voluptate";"pim_catalog_text numquam ipsum";"pim_catalog_text saepe quia";0;0;;;
attr_64;pim_catalog_metric;attr_gr_5;1;"pim_catalog_text quis minima";"pim_catalog_text non qui";"pim_catalog_text officiis dolores";"pim_catalog_text quasi excepturi";0;0;;Length;METER
attr_65;pim_catalog_metric;attr_gr_13;0;"pim_catalog_text doloribus beatae";"pim_catalog_text est eaque";"pim_catalog_text beatae possimus";"pim_catalog_text omnis eos";0;0;;Length;METER
attr_66;pim_catalog_multiselect;attr_gr_4;0;"pim_catalog_text qui et";"pim_catalog_text totam voluptatibus";"pim_catalog_text quod est";"pim_catalog_text ullam sint";0;0;;;
attr_67;pim_catalog_simpleselect;attr_gr_2;0;"pim_catalog_text dicta quasi";"pim_catalog_text quo ut";"pim_catalog_text praesentium est";"pim_catalog_text nostrum explicabo";0;0;;;
attr_68;pim_catalog_number;attr_gr_7;0;"pim_catalog_text placeat distinctio";"pim_catalog_text debitis sunt";"pim_catalog_text veniam autem";"pim_catalog_text ut neque";0;0;;;
attr_69;pim_catalog_price_collection;attr_gr_11;0;"pim_catalog_text laboriosam totam";"pim_catalog_text eum aut";"pim_catalog_text qui sit";"pim_catalog_text quos dicta";0;0;;;
attr_70;pim_catalog_metric;attr_gr_1;0;"pim_catalog_text inventore vero";"pim_catalog_text voluptate sint";"pim_catalog_text omnis soluta";"pim_catalog_text eius optio";0;0;;Length;METER
attr_71;pim_catalog_metric;attr_gr_1;0;"pim_catalog_text atque esse";"pim_catalog_text placeat eum";"pim_catalog_text aut quia";"pim_catalog_text veniam aut";0;0;;Length;METER
attr_72;pim_catalog_textarea;attr_gr_9;0;"pim_catalog_text qui ea";"pim_catalog_text aut beatae";"pim_catalog_text aliquid aliquid";"pim_catalog_text non non";0;0;;;
attr_73;pim_catalog_boolean;attr_gr_6;0;"pim_catalog_text quia quisquam";"pim_catalog_text reiciendis dolore";"pim_catalog_text harum illum";"pim_catalog_text nostrum ipsam";0;0;;;
attr_74;pim_catalog_price_collection;attr_gr_10;0;"pim_catalog_text vitae reiciendis";"pim_catalog_text ea dolores";"pim_catalog_text sed officiis";"pim_catalog_text et dolor";0;0;;;
attr_75;pim_catalog_boolean;attr_gr_5;0;"pim_catalog_text quo et";"pim_catalog_text rem repellat";"pim_catalog_text rerum ea";"pim_catalog_text saepe qui";0;0;;;
attr_76;pim_catalog_image;attr_gr_2;0;"pim_catalog_text repudiandae ut";"pim_catalog_text dolor quo";"pim_catalog_text alias repudiandae";"pim_catalog_text et eligendi";0;0;png,jpg;;
attr_77;pim_catalog_boolean;attr_gr_14;0;"pim_catalog_text sint expedita";"pim_catalog_text placeat voluptatibus";"pim_catalog_text doloribus pariatur";"pim_catalog_text voluptate ex";0;0;;;
attr_78;pim_catalog_textarea;attr_gr_2;1;"pim_catalog_text incidunt doloremque";"pim_catalog_text id illo";"pim_catalog_text magnam ut";"pim_catalog_text ut voluptatibus";1;0;;;
attr_79;pim_catalog_number;attr_gr_3;0;"pim_catalog_text natus asperiores";"pim_catalog_text quos laborum";"pim_catalog_text aliquam dicta";"pim_catalog_text consequatur iusto";0;0;;;
attr_80;pim_catalog_file;attr_gr_6;0;"pim_catalog_text quos optio";"pim_catalog_text sunt est";"pim_catalog_text rerum dolore";"pim_catalog_text sed ut";0;0;png,pdf;;
attr_81;pim_catalog_boolean;attr_gr_9;1;"pim_catalog_text magni autem";"pim_catalog_text at delectus";"pim_catalog_text sequi debitis";"pim_catalog_text tempore facilis";0;0;;;
attr_82;pim_catalog_boolean;attr_gr_12;0;"pim_catalog_text eum porro";"pim_catalog_text et dolor";"pim_catalog_text dolorem omnis";"pim_catalog_text blanditiis cupiditate";0;0;;;
attr_83;pim_catalog_file;attr_gr_10;0;"pim_catalog_text qui non";"pim_catalog_text quibusdam expedita";"pim_catalog_text qui hic";"pim_catalog_text odit veritatis";0;0;pdf,png;;
attr_84;pim_catalog_boolean;attr_gr_7;0;"pim_catalog_text qui sint";"pim_catalog_text velit ut";"pim_catalog_text corrupti nihil";"pim_catalog_text eos facilis";1;1;;;
attr_85;pim_catalog_image;attr_gr_8;0;"pim_catalog_text ut est";"pim_catalog_text optio minima";"pim_catalog_text odit error";"pim_catalog_text sit aut";0;0;jpg,png;;
attr_86;pim_catalog_price_collection;attr_gr_4;0;"pim_catalog_text ad ducimus";"pim_catalog_text perferendis aut";"pim_catalog_text laborum aut";"pim_catalog_text nam totam";0;0;;;
attr_87;pim_catalog_text;attr_gr_14;0;"pim_catalog_text assumenda non";"pim_catalog_text in hic";"pim_catalog_text qui sunt";"pim_catalog_text dolore mollitia";0;0;;;
attr_88;pim_catalog_textarea;attr_gr_5;0;"pim_catalog_text quia aut";"pim_catalog_text vero quod";"pim_catalog_text necessitatibus ipsum";"pim_catalog_text est voluptatum";0;0;;;
attr_89;pim_catalog_number;attr_gr_8;0;"pim_catalog_text doloremque deleniti";"pim_catalog_text molestias consectetur";"pim_catalog_text incidunt repellat";"pim_catalog_text et et";0;0;;;
attr_90;pim_catalog_number;attr_gr_0;0;"pim_catalog_text perferendis aut";"pim_catalog_text et possimus";"pim_catalog_text et quo";"pim_catalog_text et veritatis";0;0;;;
attr_91;pim_catalog_date;attr_gr_10;0;"pim_catalog_text cum nihil";"pim_catalog_text omnis ab";"pim_catalog_text et sit";"pim_catalog_text molestiae adipisci";0;0;;;
attr_92;pim_catalog_image;attr_gr_7;0;"pim_catalog_text facere dolorem";"pim_catalog_text qui et";"pim_catalog_text et sit";"pim_catalog_text tenetur molestiae";0;0;jpg,pdf;;
attr_93;pim_catalog_image;attr_gr_1;0;"pim_catalog_text voluptatem rerum";"pim_catalog_text voluptatem animi";"pim_catalog_text cum adipisci";"pim_catalog_text est cupiditate";0;0;jpg,png;;
attr_94;pim_catalog_multiselect;attr_gr_8;0;"pim_catalog_text nesciunt voluptates";"pim_catalog_text explicabo aliquid";"pim_catalog_text voluptatem ducimus";"pim_catalog_text non explicabo";0;0;;;
attr_95;pim_catalog_text;attr_gr_7;0;"pim_catalog_text molestias minima";"pim_catalog_text autem et";"pim_catalog_text harum incidunt";"pim_catalog_text nemo totam";0;0;;;
attr_96;pim_catalog_textarea;attr_gr_9;0;"pim_catalog_text ut tempore";"pim_catalog_text voluptas velit";"pim_catalog_text molestias reiciendis";"pim_catalog_text enim cum";0;0;;;
attr_97;pim_catalog_text;attr_gr_11;0;"pim_catalog_text suscipit architecto";"pim_catalog_text et eaque";"pim_catalog_text eligendi explicabo";"pim_catalog_text et aut";1;0;;;
attr_98;pim_catalog_metric;attr_gr_6;0;"pim_catalog_text officia minus";"pim_catalog_text mollitia sunt";"pim_catalog_text provident praesentium";"pim_catalog_text eos vel";0;0;;Length;METER
attr_99;pim_catalog_simpleselect;attr_gr_4;0;"pim_catalog_text qui repudiandae";"pim_catalog_text ullam ex";"pim_catalog_text expedita sed";"pim_catalog_text atque nihil";0;0;;;
attr_100;pim_catalog_file;attr_gr_14;0;"pim_catalog_text commodi a";"pim_catalog_text exercitationem qui";"pim_catalog_text culpa necessitatibus";"pim_catalog_text accusamus qui";0;0;png,jpg;;
attr_101;pim_catalog_price_collection;attr_gr_10;0;"pim_catalog_text labore repudiandae";"pim_catalog_text necessitatibus quia";"pim_catalog_text et deleniti";"pim_catalog_text esse quos";0;0;;;
attr_102;pim_catalog_boolean;attr_gr_14;0;"pim_catalog_text odit ut";"pim_catalog_text in temporibus";"pim_catalog_text et reprehenderit";"pim_catalog_text accusamus nobis";0;0;;;
attr_103;pim_catalog_image;attr_gr_6;0;"pim_catalog_text iure quos";"pim_catalog_text quis repellendus";"pim_catalog_text quae inventore";"pim_catalog_text dolores quis";0;0;pdf,jpg;;
attr_104;pim_catalog_number;attr_gr_9;0;"pim_catalog_text perspiciatis illo";"pim_catalog_text rerum eligendi";"pim_catalog_text est quos";"pim_catalog_text non dicta";0;0;;;
attr_105;pim_catalog_file;attr_gr_2;1;"pim_catalog_text voluptatem aut";"pim_catalog_text sapiente quo";"pim_catalog_text deleniti ut";"pim_catalog_text aut placeat";0;0;png,jpg;;
attr_106;pim_catalog_metric;attr_gr_0;0;"pim_catalog_text dolorem quia";"pim_catalog_text ea nostrum";"pim_catalog_text sed est";"pim_catalog_text velit dignissimos";0;0;;Length;METER
attr_107;pim_catalog_file;attr_gr_6;1;"pim_catalog_text eligendi ea";"pim_catalog_text nihil consectetur";"pim_catalog_text rem sunt";"pim_catalog_text velit rerum";0;0;jpg,png;;
attr_108;pim_catalog_simpleselect;attr_gr_8;0;"pim_catalog_text voluptatum culpa";"pim_catalog_text deserunt ullam";"pim_catalog_text ut sint";"pim_catalog_text eius sint";0;0;;;
attr_109;pim_catalog_simpleselect;attr_gr_4;0;"pim_catalog_text est quae";"pim_catalog_text laudantium debitis";"pim_catalog_text voluptatem autem";"pim_catalog_text nihil aut";0;0;;;
attr_110;pim_catalog_number;attr_gr_0;0;"pim_catalog_text quasi nam";"pim_catalog_text qui veritatis";"pim_catalog_text voluptatem consequatur";"pim_catalog_text rerum magnam";0;0;;;
attr_111;pim_catalog_file;attr_gr_4;0;"pim_catalog_text sit quos";"pim_catalog_text vel quisquam";"pim_catalog_text voluptatem quaerat";"pim_catalog_text ad veniam";0;0;pdf,png;;
attr_112;pim_catalog_simpleselect;attr_gr_3;0;"pim_catalog_text atque tempora";"pim_catalog_text rerum et";"pim_catalog_text ut est";"pim_catalog_text voluptatem doloremque";0;0;;;
attr_113;pim_catalog_image;attr_gr_0;0;"pim_catalog_text quisquam exercitationem";"pim_catalog_text atque qui";"pim_catalog_text nulla voluptates";"pim_catalog_text quidem voluptates";0;0;png,pdf;;
attr_114;pim_catalog_number;attr_gr_4;0;"pim_catalog_text enim ea";"pim_catalog_text sit nobis";"pim_catalog_text magni facere";"pim_catalog_text vel maxime";0;0;;;
attr_115;pim_catalog_text;attr_gr_1;0;"pim_catalog_text dolore ad";"pim_catalog_text laudantium voluptatem";"pim_catalog_text velit voluptas";"pim_catalog_text fuga numquam";0;0;;;
attr_116;pim_catalog_price_collection;attr_gr_10;0;"pim_catalog_text et molestias";"pim_catalog_text officia facilis";"pim_catalog_text neque voluptates";"pim_catalog_text voluptatem aut";0;0;;;
attr_117;pim_catalog_date;attr_gr_0;0;"pim_catalog_text iste neque";"pim_catalog_text tempora quis";"pim_catalog_text dolores ut";"pim_catalog_text quibusdam asperiores";0;0;;;
attr_118;pim_catalog_date;attr_gr_2;0;"pim_catalog_text consequatur consequatur";"pim_catalog_text velit sed";"pim_catalog_text qui ea";"pim_catalog_text velit sunt";0;0;;;
attr_119;pim_catalog_price_collection;attr_gr_3;0;"pim_catalog_text velit alias";"pim_catalog_text cum laborum";"pim_catalog_text officia vitae";"pim_catalog_text reprehenderit placeat";0;0;;;
attr_120;pim_catalog_image;attr_gr_1;0;"pim_catalog_text ad tenetur";"pim_catalog_text porro ut";"pim_catalog_text nesciunt dolore";"pim_catalog_text vel laudantium";0;0;jpg,pdf;;
attr_121;pim_catalog_date;attr_gr_0;0;"pim_catalog_text expedita minima";"pim_catalog_text harum tempore";"pim_catalog_text non cumque";"pim_catalog_text atque rerum";0;0;;;
attr_122;pim_catalog_textarea;attr_gr_12;0;"pim_catalog_text voluptatem blanditiis";"pim_catalog_text ullam omnis";"pim_catalog_text et quae";"pim_catalog_text voluptas officiis";0;0;;;
attr_123;pim_catalog_multiselect;attr_gr_5;0;"pim_catalog_text at aspernatur";"pim_catalog_text et dicta";"pim_catalog_text ab in";"pim_catalog_text impedit distinctio";0;0;;;
attr_124;pim_catalog_metric;attr_gr_0;0;"pim_catalog_text doloribus repudiandae";"pim_catalog_text quis eaque";"pim_catalog_text harum aut";"pim_catalog_text hic maxime";0;0;;Length;METER
attr_125;pim_catalog_date;attr_gr_8;0;"pim_catalog_text qui alias";"pim_catalog_text a aut";"pim_catalog_text autem enim";"pim_catalog_text voluptas cupiditate";0;0;;;
attr_126;pim_catalog_date;attr_gr_10;0;"pim_catalog_text et possimus";"pim_catalog_text tempora eos";"pim_catalog_text qui temporibus";"pim_catalog_text doloribus consequatur";0;0;;;
attr_127;pim_catalog_boolean;attr_gr_1;0;"pim_catalog_text incidunt laudantium";"pim_catalog_text sunt quaerat";"pim_catalog_text voluptas animi";"pim_catalog_text voluptatem impedit";1;0;;;
attr_128;pim_catalog_multiselect;attr_gr_8;1;"pim_catalog_text aut ipsam";"pim_catalog_text velit dolorum";"pim_catalog_text a ut";"pim_catalog_text explicabo debitis";0;0;;;
attr_129;pim_catalog_number;attr_gr_9;0;"pim_catalog_text unde consequatur";"pim_catalog_text exercitationem aut";"pim_catalog_text praesentium qui";"pim_catalog_text sint sunt";0;0;;;
attr_130;pim_catalog_date;attr_gr_10;0;"pim_catalog_text ipsam ut";"pim_catalog_text ut officiis";"pim_catalog_text inventore consequatur";"pim_catalog_text repudiandae ut";0;0;;;
attr_131;pim_catalog_file;attr_gr_11;0;"pim_catalog_text et dolor";"pim_catalog_text tempora et";"pim_catalog_text ut nesciunt";"pim_catalog_text consequuntur similique";0;0;png,jpg;;
attr_132;pim_catalog_price_collection;attr_gr_5;0;"pim_catalog_text fuga ipsam";"pim_catalog_text nam odio";"pim_catalog_text beatae quam";"pim_catalog_text saepe aliquam";0;0;;;
attr_133;pim_catalog_date;attr_gr_14;0;"pim_catalog_text vel dolores";"pim_catalog_text totam sed";"pim_catalog_text sit impedit";"pim_catalog_text ea quidem";0;0;;;
attr_134;pim_catalog_simpleselect;attr_gr_5;0;"pim_catalog_text similique doloremque";"pim_catalog_text blanditiis adipisci";"pim_catalog_text accusamus aliquid";"pim_catalog_text quidem dolores";0;0;;;
attr_135;pim_catalog_text;attr_gr_11;0;"pim_catalog_text id dolores";"pim_catalog_text sed nisi";"pim_catalog_text voluptate maxime";"pim_catalog_text ut esse";0;0;;;
attr_136;pim_catalog_multiselect;attr_gr_2;0;"pim_catalog_text nam debitis";"pim_catalog_text rem sint";"pim_catalog_text ipsum perspiciatis";"pim_catalog_text excepturi et";0;0;;;
attr_137;pim_catalog_boolean;attr_gr_9;0;"pim_catalog_text rerum mollitia";"pim_catalog_text quia sit";"pim_catalog_text aut commodi";"pim_catalog_text excepturi provident";0;0;;;
attr_138;pim_catalog_number;attr_gr_6;0;"pim_catalog_text dolores molestias";"pim_catalog_text beatae earum";"pim_catalog_text et pariatur";"pim_catalog_text nihil quaerat";0;0;;;
attr_139;pim_catalog_simpleselect;attr_gr_7;0;"pim_catalog_text veritatis soluta";"pim_catalog_text accusantium qui";"pim_catalog_text voluptatem dolores";"pim_catalog_text eos dolore";0;0;;;
attr_140;pim_catalog_multiselect;attr_gr_3;1;"pim_catalog_text vero non";"pim_catalog_text hic ut";"pim_catalog_text voluptas sint";"pim_catalog_text optio autem";0;0;;;
attr_141;pim_catalog_number;attr_gr_13;0;"pim_catalog_text minus quasi";"pim_catalog_text ut quia";"pim_catalog_text veritatis enim";"pim_catalog_text illum nihil";0;0;;;
