code;type;group;useable_as_grid_filter;label-fr_FR;label-en_US;label-de_DE;label-ru_RU;label-it_IT;localizable;scopable;allowed_extensions;metric_family;default_metric_unit
attr_44;pim_catalog_multiselect;attr_gr_1;0;"multiselect occaecati quos";"multiselect est provident";"multiselect fugiat amet";"multiselect veritatis deserunt";"multiselect quidem quas";0;0;;;
attr_45;pim_catalog_date;attr_gr_14;0;"date dolorem nihil";"date natus aspernatur";"date maxime pariatur";"date est eius";"date iste ut";0;0;;;
attr_46;pim_catalog_image;attr_gr_7;0;"image ipsa iste";"image ut et";"image quo a";"image quod nihil";"image expedita nobis";0;0;jpg,png;;
attr_47;pim_catalog_date;attr_gr_12;0;"date est nihil";"date eum soluta";"date accusamus vero";"date aut a";"date qui at";0;0;;;
attr_48;pim_catalog_textarea;attr_gr_6;0;"textarea in voluptates";"textarea natus quam";"textarea ab repellendus";"textarea aut omnis";"textarea fugiat excepturi";0;0;;;
attr_49;pim_catalog_multiselect;attr_gr_3;0;"multiselect suscipit recusandae";"multiselect ea maiores";"multiselect ut eius";"multiselect libero qui";"multiselect beatae voluptatem";0;0;;;
attr_50;pim_catalog_boolean;attr_gr_7;0;"boolean autem necessitatibus";"boolean tenetur facere";"boolean sed occaecati";"boolean odio est";"boolean in ut";0;0;;;
attr_51;pim_catalog_image;attr_gr_10;0;"image enim consequatur";"image possimus tempora";"image nihil accusantium";"image sit impedit";"image et odio";0;0;png,jpg;;
attr_52;pim_catalog_simpleselect;attr_gr_9;0;"simpleselect vel quidem";"simpleselect vero odio";"simpleselect rerum earum";"simpleselect rerum ipsam";"simpleselect culpa ipsa";0;0;;;
attr_53;pim_catalog_number;attr_gr_4;0;"number est eum";"number reiciendis maiores";"number voluptas et";"number quas quod";"number dolores consequuntur";0;0;;;
attr_54;pim_catalog_simpleselect;attr_gr_8;0;"simpleselect est consequatur";"simpleselect eum quam";"simpleselect quia aperiam";"simpleselect distinctio occaecati";"simpleselect deserunt facere";0;0;;;
attr_55;pim_catalog_textarea;attr_gr_0;0;"textarea dignissimos voluptas";"textarea voluptas nulla";"textarea tempora deleniti";"textarea quis aut";"textarea qui aliquam";0;0;;;
attr_56;pim_catalog_simpleselect;attr_gr_6;0;"simpleselect est veniam";"simpleselect esse tenetur";"simpleselect sed ex";"simpleselect ut provident";"simpleselect pariatur et";1;0;;;
attr_57;pim_catalog_simpleselect;attr_gr_13;0;"simpleselect nihil excepturi";"simpleselect cum omnis";"simpleselect facere eum";"simpleselect similique iure";"simpleselect eum dolorum";1;0;;;
attr_58;pim_catalog_text;attr_gr_4;0;"text aliquid quo";"text quae voluptatem";"text optio quia";"text rem quisquam";"text in totam";0;0;;;
attr_59;pim_catalog_textarea;attr_gr_13;0;"textarea illo qui";"textarea voluptatum sint";"textarea eos amet";"textarea vel aut";"textarea nostrum nobis";0;0;;;
attr_60;pim_catalog_price_collection;attr_gr_14;0;"price_collection tempora ducimus";"price_collection aperiam beatae";"price_collection aut minus";"price_collection ipsum fugiat";"price_collection libero consequatur";0;0;;;
attr_61;pim_catalog_text;attr_gr_2;0;"text et quia";"text ad porro";"text doloribus consequuntur";"text tenetur non";"text voluptatem autem";0;0;;;
attr_62;pim_catalog_file;attr_gr_8;0;"file facilis et";"file et et";"file quo minus";"file eaque et";"file possimus consequuntur";0;0;pdf,png;;
attr_63;pim_catalog_multiselect;attr_gr_6;0;"multiselect sed optio";"multiselect magnam at";"multiselect rem tenetur";"multiselect hic consequatur";"multiselect ratione molestiae";0;0;;;
attr_64;pim_catalog_date;attr_gr_0;0;"date vel et";"date blanditiis earum";"date neque numquam";"date impedit rerum";"date numquam et";0;0;;;
attr_65;pim_catalog_simpleselect;attr_gr_6;0;"simpleselect voluptate voluptas";"simpleselect molestiae minima";"simpleselect nobis commodi";"simpleselect voluptas et";"simpleselect adipisci nemo";0;0;;;
attr_66;pim_catalog_text;attr_gr_7;0;"text nobis quo";"text perferendis id";"text doloribus esse";"text velit incidunt";"text commodi praesentium";0;0;;;
attr_67;pim_catalog_metric;attr_gr_4;0;"metric debitis sed";"metric velit aut";"metric nulla delectus";"metric et quia";"metric adipisci sequi";0;0;;Length;METER
attr_68;pim_catalog_multiselect;attr_gr_12;0;"multiselect et facere";"multiselect autem voluptatibus";"multiselect dolores voluptas";"multiselect natus eos";"multiselect ea assumenda";1;1;;;
attr_69;pim_catalog_price_collection;attr_gr_10;0;"price_collection nostrum neque";"price_collection dolores ut";"price_collection totam eum";"price_collection qui animi";"price_collection distinctio praesentium";0;0;;;
attr_70;pim_catalog_price_collection;attr_gr_12;0;"price_collection dolorem ratione";"price_collection occaecati qui";"price_collection recusandae minus";"price_collection labore harum";"price_collection nihil et";0;0;;;
attr_71;pim_catalog_date;attr_gr_4;0;"date eius ut";"date nemo ratione";"date dolores magnam";"date quia explicabo";"date veritatis doloribus";0;0;;;
attr_72;pim_catalog_price_collection;attr_gr_11;0;"price_collection illum neque";"price_collection rerum numquam";"price_collection ducimus soluta";"price_collection ex fugiat";"price_collection aut debitis";1;0;;;
attr_73;pim_catalog_multiselect;attr_gr_6;0;"multiselect quae alias";"multiselect quaerat sunt";"multiselect eveniet saepe";"multiselect doloremque reiciendis";"multiselect fugiat dolorem";0;0;;;
attr_74;pim_catalog_file;attr_gr_4;0;"file aut voluptatibus";"file dolorem omnis";"file consequatur sed";"file explicabo possimus";"file iste ab";0;0;jpg,pdf;;
attr_75;pim_catalog_number;attr_gr_8;0;"number laborum qui";"number quis consequatur";"number neque quo";"number expedita natus";"number iste ipsum";0;0;;;
attr_76;pim_catalog_multiselect;attr_gr_11;1;"multiselect deleniti nemo";"multiselect culpa consectetur";"multiselect et et";"multiselect dicta nihil";"multiselect quo consequatur";0;0;;;
attr_77;pim_catalog_number;attr_gr_3;0;"number eos assumenda";"number a alias";"number dignissimos sed";"number asperiores adipisci";"number quasi quo";0;0;;;
attr_78;pim_catalog_number;attr_gr_5;0;"number ea quibusdam";"number veniam sit";"number ad et";"number et ullam";"number minus est";0;0;;;
attr_79;pim_catalog_boolean;attr_gr_3;1;"boolean minima quaerat";"boolean repellendus ratione";"boolean ut vero";"boolean quam distinctio";"boolean corporis quidem";0;0;;;
attr_80;pim_catalog_image;attr_gr_4;0;"image est hic";"image quidem cumque";"image sit qui";"image tempora sapiente";"image a libero";0;0;pdf,jpg;;
attr_81;pim_catalog_simpleselect;attr_gr_10;0;"simpleselect dolorem quasi";"simpleselect quasi laudantium";"simpleselect necessitatibus quae";"simpleselect repellendus vel";"simpleselect dolorem quisquam";0;0;;;
attr_82;pim_catalog_price_collection;attr_gr_6;0;"price_collection maiores ea";"price_collection nihil aut";"price_collection dolorum et";"price_collection non asperiores";"price_collection voluptas illum";0;0;;;
attr_83;pim_catalog_metric;attr_gr_3;0;"metric aliquam aspernatur";"metric odio cupiditate";"metric voluptatem qui";"metric consequuntur voluptatem";"metric ut consequatur";0;0;;Length;METER
attr_84;pim_catalog_boolean;attr_gr_7;0;"boolean in quis";"boolean velit nemo";"boolean esse ut";"boolean minima ea";"boolean recusandae adipisci";0;1;;;
attr_85;pim_catalog_multiselect;attr_gr_11;0;"multiselect voluptas eaque";"multiselect quo quis";"multiselect natus voluptatem";"multiselect consequatur laborum";"multiselect et molestias";0;0;;;
attr_86;pim_catalog_textarea;attr_gr_0;0;"textarea aut nesciunt";"textarea et corporis";"textarea suscipit nam";"textarea nostrum aut";"textarea velit saepe";0;0;;;
attr_87;pim_catalog_simpleselect;attr_gr_11;0;"simpleselect et in";"simpleselect in omnis";"simpleselect animi velit";"simpleselect amet qui";"simpleselect sed impedit";0;0;;;
attr_88;pim_catalog_image;attr_gr_6;0;"image rerum nesciunt";"image non quam";"image nobis commodi";"image maiores quia";"image quo voluptatem";0;0;png,jpg;;
attr_89;pim_catalog_text;attr_gr_13;0;"text optio occaecati";"text laborum laudantium";"text qui esse";"text ut asperiores";"text et beatae";0;0;;;
attr_90;pim_catalog_textarea;attr_gr_1;0;"textarea et suscipit";"textarea in vel";"textarea itaque dolores";"textarea debitis odio";"textarea sint quis";0;0;;;
attr_91;pim_catalog_multiselect;attr_gr_1;0;"multiselect quia quas";"multiselect impedit non";"multiselect fugiat et";"multiselect qui et";"multiselect magnam sunt";0;0;;;
attr_92;pim_catalog_price_collection;attr_gr_10;0;"price_collection non dolorem";"price_collection nostrum nobis";"price_collection sed atque";"price_collection error nemo";"price_collection et delectus";0;0;;;
attr_93;pim_catalog_simpleselect;attr_gr_8;0;"simpleselect ipsum est";"simpleselect doloremque sit";"simpleselect ut quisquam";"simpleselect blanditiis dolore";"simpleselect rem adipisci";0;0;;;
attr_94;pim_catalog_price_collection;attr_gr_11;0;"price_collection sed et";"price_collection asperiores alias";"price_collection corporis veniam";"price_collection iste suscipit";"price_collection quibusdam voluptatem";0;0;;;
attr_95;pim_catalog_simpleselect;attr_gr_0;0;"simpleselect libero veritatis";"simpleselect illo ipsam";"simpleselect adipisci laboriosam";"simpleselect culpa dolor";"simpleselect dolorem ut";0;0;;;
attr_96;pim_catalog_boolean;attr_gr_9;1;"boolean excepturi fuga";"boolean id fuga";"boolean earum sint";"boolean et veritatis";"boolean voluptas hic";1;0;;;
attr_97;pim_catalog_simpleselect;attr_gr_10;0;"simpleselect et labore";"simpleselect voluptas at";"simpleselect ut quasi";"simpleselect eos non";"simpleselect facere quia";0;0;;;
attr_98;pim_catalog_price_collection;attr_gr_1;0;"price_collection a autem";"price_collection voluptates aut";"price_collection cupiditate aut";"price_collection architecto earum";"price_collection adipisci aperiam";0;0;;;
attr_99;pim_catalog_text;attr_gr_8;1;"text voluptate minima";"text eligendi libero";"text quis nulla";"text voluptas voluptatum";"text fugiat nostrum";0;0;;;
attr_100;pim_catalog_number;attr_gr_12;0;"number sed nostrum";"number cumque aut";"number excepturi suscipit";"number repellendus sit";"number molestias iusto";0;0;;;
attr_101;pim_catalog_file;attr_gr_7;0;"file sed voluptatibus";"file sint explicabo";"file provident non";"file modi dicta";"file odio sed";0;0;jpg,pdf;;
attr_102;pim_catalog_file;attr_gr_6;0;"file necessitatibus eum";"file repellat omnis";"file unde accusamus";"file aut totam";"file repellat iure";0;0;png,pdf;;
attr_103;pim_catalog_date;attr_gr_6;0;"date maxime occaecati";"date numquam ratione";"date minus et";"date ut qui";"date quo temporibus";0;0;;;
attr_104;pim_catalog_price_collection;attr_gr_0;0;"price_collection voluptatibus facilis";"price_collection iusto voluptas";"price_collection molestiae rerum";"price_collection laboriosam corrupti";"price_collection quis voluptatem";0;0;;;
attr_105;pim_catalog_number;attr_gr_14;0;"number beatae et";"number similique ducimus";"number odio sit";"number rerum doloribus";"number dolores perferendis";0;0;;;
attr_106;pim_catalog_date;attr_gr_13;0;"date laudantium porro";"date porro quo";"date nostrum aliquam";"date itaque dolorem";"date aut laboriosam";0;0;;;
attr_107;pim_catalog_price_collection;attr_gr_5;0;"price_collection dolores omnis";"price_collection vel qui";"price_collection quia culpa";"price_collection et qui";"price_collection sequi officiis";0;0;;;
attr_108;pim_catalog_date;attr_gr_7;0;"date doloremque voluptatibus";"date illum eos";"date eligendi culpa";"date necessitatibus quis";"date beatae laudantium";0;0;;;
attr_109;pim_catalog_file;attr_gr_5;0;"file exercitationem est";"file aut quia";"file ipsam et";"file quasi et";"file quisquam quo";0;0;jpg,pdf;;
attr_110;pim_catalog_file;attr_gr_9;0;"file autem officiis";"file asperiores maiores";"file nihil provident";"file omnis aperiam";"file quia ut";0;0;jpg,png;;
attr_111;pim_catalog_boolean;attr_gr_6;0;"boolean itaque quam";"boolean ut ut";"boolean officiis porro";"boolean ratione est";"boolean perspiciatis fugit";0;0;;;
attr_112;pim_catalog_file;attr_gr_10;0;"file et quia";"file accusantium et";"file beatae fugit";"file consequuntur facere";"file laudantium ratione";0;0;png,jpg;;
attr_113;pim_catalog_number;attr_gr_6;0;"number consequatur omnis";"number laborum dolor";"number nesciunt eum";"number suscipit qui";"number sequi maxime";0;0;;;
attr_114;pim_catalog_boolean;attr_gr_9;0;"boolean labore soluta";"boolean sequi aut";"boolean inventore sint";"boolean reiciendis praesentium";"boolean at adipisci";0;0;;;
attr_115;pim_catalog_date;attr_gr_7;0;"date nulla amet";"date dolores voluptates";"date minima ipsum";"date aut fugit";"date beatae voluptatem";0;0;;;
attr_116;pim_catalog_multiselect;attr_gr_12;0;"multiselect praesentium quia";"multiselect reiciendis esse";"multiselect distinctio excepturi";"multiselect voluptates tenetur";"multiselect omnis sunt";0;0;;;
attr_117;pim_catalog_price_collection;attr_gr_9;0;"price_collection architecto error";"price_collection nobis nesciunt";"price_collection inventore qui";"price_collection voluptas est";"price_collection ad consectetur";0;0;;;
attr_118;pim_catalog_number;attr_gr_12;0;"number quos voluptatem";"number rerum est";"number veniam id";"number in dolor";"number veniam quos";0;0;;;
attr_119;pim_catalog_image;attr_gr_6;0;"image labore necessitatibus";"image aut pariatur";"image et itaque";"image assumenda eos";"image culpa quibusdam";1;0;jpg,pdf;;
attr_120;pim_catalog_metric;attr_gr_9;0;"metric alias eius";"metric neque velit";"metric sint aliquam";"metric ea dolorem";"metric explicabo alias";0;0;;Length;METER
attr_121;pim_catalog_textarea;attr_gr_13;1;"textarea odio ipsa";"textarea animi voluptas";"textarea et voluptas";"textarea accusamus error";"textarea quis libero";0;0;;;
attr_122;pim_catalog_image;attr_gr_3;0;"image doloribus voluptatem";"image eaque sapiente";"image rerum incidunt";"image maiores quasi";"image eius velit";0;0;png,pdf;;
attr_123;pim_catalog_price_collection;attr_gr_7;0;"price_collection reiciendis quo";"price_collection beatae sapiente";"price_collection alias incidunt";"price_collection sint omnis";"price_collection nobis voluptas";0;0;;;
attr_124;pim_catalog_boolean;attr_gr_7;0;"boolean sint unde";"boolean quam magnam";"boolean ipsam quisquam";"boolean est voluptatem";"boolean aliquam odit";0;0;;;
attr_125;pim_catalog_simpleselect;attr_gr_9;0;"simpleselect quis laboriosam";"simpleselect placeat error";"simpleselect porro sed";"simpleselect nobis vel";"simpleselect expedita et";0;0;;;
attr_126;pim_catalog_boolean;attr_gr_0;0;"boolean occaecati sed";"boolean non porro";"boolean neque perspiciatis";"boolean corrupti quia";"boolean iste voluptate";1;0;;;
attr_127;pim_catalog_textarea;attr_gr_9;0;"textarea blanditiis consequuntur";"textarea quidem enim";"textarea omnis veniam";"textarea aliquid quae";"textarea quia porro";0;0;;;
attr_128;pim_catalog_multiselect;attr_gr_5;0;"multiselect similique qui";"multiselect et minima";"multiselect consequatur hic";"multiselect aspernatur libero";"multiselect quo quasi";0;0;;;
attr_129;pim_catalog_metric;attr_gr_4;0;"metric quibusdam consequatur";"metric numquam doloremque";"metric maiores ducimus";"metric maxime dolores";"metric delectus nihil";0;0;;Length;METER
attr_130;pim_catalog_price_collection;attr_gr_14;0;"price_collection distinctio omnis";"price_collection et earum";"price_collection ut unde";"price_collection alias est";"price_collection nemo alias";0;0;;;
attr_131;pim_catalog_simpleselect;attr_gr_10;0;"simpleselect eveniet est";"simpleselect voluptatibus et";"simpleselect rerum est";"simpleselect aut aut";"simpleselect enim ratione";0;0;;;
attr_132;pim_catalog_boolean;attr_gr_8;0;"boolean doloribus inventore";"boolean aut enim";"boolean explicabo omnis";"boolean vel rerum";"boolean eveniet distinctio";0;1;;;
attr_133;pim_catalog_textarea;attr_gr_0;0;"textarea omnis rerum";"textarea omnis et";"textarea voluptatem eveniet";"textarea velit enim";"textarea recusandae optio";0;0;;;
attr_134;pim_catalog_file;attr_gr_8;0;"file saepe vel";"file voluptatum voluptate";"file beatae vitae";"file aut est";"file laboriosam distinctio";0;0;jpg,pdf;;
attr_135;pim_catalog_date;attr_gr_5;0;"date in et";"date velit velit";"date architecto consequatur";"date eum iste";"date repudiandae iure";0;0;;;
attr_136;pim_catalog_image;attr_gr_8;0;"image voluptas enim";"image maiores sit";"image in dolor";"image officia deserunt";"image rem ut";1;0;pdf,jpg;;
attr_137;pim_catalog_price_collection;attr_gr_8;0;"price_collection omnis similique";"price_collection aut est";"price_collection impedit ducimus";"price_collection velit suscipit";"price_collection sapiente sequi";0;0;;;
attr_138;pim_catalog_image;attr_gr_10;0;"image eaque aut";"image eum incidunt";"image dolore fugiat";"image quia quo";"image quia velit";0;0;png,pdf;;
attr_139;pim_catalog_file;attr_gr_11;0;"file officia quia";"file eius libero";"file explicabo facilis";"file id sed";"file eum mollitia";0;0;png,jpg;;
attr_140;pim_catalog_simpleselect;attr_gr_6;0;"simpleselect sunt aspernatur";"simpleselect expedita ea";"simpleselect ut aliquam";"simpleselect esse enim";"simpleselect mollitia est";0;0;;;
attr_141;pim_catalog_textarea;attr_gr_5;0;"textarea enim placeat";"textarea error numquam";"textarea consectetur eos";"textarea et modi";"textarea ratione ex";0;0;;;
attr_142;pim_catalog_text;attr_gr_2;0;"text ab nesciunt";"text delectus nemo";"text ratione quis";"text quia temporibus";"text corporis sit";0;0;;;
attr_143;pim_catalog_price_collection;attr_gr_7;0;"price_collection dolorem qui";"price_collection qui doloremque";"price_collection quasi eos";"price_collection qui itaque";"price_collection ut quaerat";0;0;;;
attr_144;pim_catalog_simpleselect;attr_gr_6;0;"simpleselect vitae doloribus";"simpleselect enim quasi";"simpleselect recusandae velit";"simpleselect nemo et";"simpleselect enim officiis";0;0;;;
attr_145;pim_catalog_boolean;attr_gr_9;0;"boolean dolores repellat";"boolean sunt officiis";"boolean voluptas ipsam";"boolean sunt occaecati";"boolean explicabo sed";0;0;;;
attr_146;pim_catalog_boolean;attr_gr_13;0;"boolean rerum alias";"boolean et earum";"boolean possimus quod";"boolean ex repellat";"boolean ea voluptate";0;0;;;
attr_147;pim_catalog_textarea;attr_gr_14;0;"textarea rerum corporis";"textarea eligendi saepe";"textarea voluptatum ut";"textarea ducimus ut";"textarea eligendi qui";0;0;;;
attr_148;pim_catalog_image;attr_gr_3;1;"image qui aliquam";"image architecto libero";"image sed et";"image sit voluptas";"image ullam laborum";0;0;pdf,jpg;;
attr_149;pim_catalog_multiselect;attr_gr_1;0;"multiselect magni nulla";"multiselect et ipsum";"multiselect consectetur ut";"multiselect mollitia nesciunt";"multiselect commodi molestiae";0;0;;;
attr_150;pim_catalog_boolean;attr_gr_7;0;"boolean nobis aliquid";"boolean aut perferendis";"boolean voluptatem et";"boolean fugit ut";"boolean voluptas animi";0;0;;;
attr_151;pim_catalog_file;attr_gr_3;0;"file odio culpa";"file cum et";"file ut quos";"file nulla perspiciatis";"file autem consequatur";0;0;jpg,png;;
attr_152;pim_catalog_date;attr_gr_11;0;"date quae praesentium";"date minus doloremque";"date alias error";"date delectus ut";"date alias vero";0;0;;;
attr_153;pim_catalog_textarea;attr_gr_1;1;"textarea rerum voluptate";"textarea quis aspernatur";"textarea mollitia praesentium";"textarea qui voluptas";"textarea corporis incidunt";0;0;;;
attr_154;pim_catalog_boolean;attr_gr_0;0;"boolean quisquam ducimus";"boolean voluptas explicabo";"boolean ullam in";"boolean harum sed";"boolean vel voluptas";0;0;;;
attr_155;pim_catalog_multiselect;attr_gr_7;0;"multiselect ea recusandae";"multiselect est neque";"multiselect sapiente repudiandae";"multiselect architecto excepturi";"multiselect consequatur asperiores";0;0;;;
attr_156;pim_catalog_metric;attr_gr_7;0;"metric pariatur laboriosam";"metric autem suscipit";"metric cumque enim";"metric ut necessitatibus";"metric tenetur excepturi";0;0;;Length;METER
attr_157;pim_catalog_price_collection;attr_gr_11;0;"price_collection quidem ut";"price_collection occaecati consequatur";"price_collection occaecati at";"price_collection id impedit";"price_collection debitis consequuntur";0;0;;;
attr_158;pim_catalog_simpleselect;attr_gr_9;0;"simpleselect reprehenderit rerum";"simpleselect quis accusamus";"simpleselect saepe tenetur";"simpleselect sunt ut";"simpleselect reprehenderit qui";0;1;;;
attr_159;pim_catalog_metric;attr_gr_0;0;"metric qui dolores";"metric rem ipsam";"metric quia consequatur";"metric dolorem autem";"metric sit quasi";0;0;;Length;METER
attr_160;pim_catalog_number;attr_gr_13;0;"number autem labore";"number totam impedit";"number placeat perspiciatis";"number alias non";"number eveniet expedita";0;0;;;
