code;type;group;useable_as_grid_filter;label-fr_FR;label-en_US;label-ru_RU;label-it_IT;localizable;scopable;allowed_extensions;metric_family;default_metric_unit;decimals_allowed;negative_allowed
attr_116;pim_catalog_boolean;attr_gr_9;0;boolean et suscipit;boolean in vel;boolean itaque dolores;boolean debitis odio;0;0;;;;;
attr_117;pim_catalog_boolean;attr_gr_7;0;boolean quis quibusdam;boolean quia quas;boolean impedit non;boolean fugiat et;0;0;;;;;
attr_118;pim_catalog_textarea;attr_gr_12;0;textarea et magnam;textarea sunt consequatur;textarea non dolorem;textarea nostrum nobis;0;0;;;;;
attr_119;pim_catalog_price_collection;attr_gr_9;1;price_collection atque error;price_collection nemo et;price_collection delectus facere;price_collection ipsum est;0;0;;;;1;
attr_12;pim_catalog_simpleselect;attr_gr_8;0;simpleselect cumque natus;simpleselect sed dolores;simpleselect veniam et;simpleselect illo aut;0;0;;;;;
attr_120;pim_catalog_number;attr_gr_12;0;number sit ut;number quisquam blanditiis;number dolore rem;number adipisci consectetur;0;0;;;;1;1
attr_121;pim_catalog_file;attr_gr_6;0;file et asperiores;file alias corporis;file veniam iste;file suscipit quibusdam;1;0;pdf,doc;;;;
attr_122;pim_catalog_metric;attr_gr_11;0;metric rem libero;metric veritatis illo;metric ipsam adipisci;metric laboriosam culpa;0;0;;Length;METER;1;1
attr_123;pim_catalog_text;attr_gr_2;0;text dolorem ut;text optio excepturi;text fuga id;text fuga earum;0;0;;;;;
attr_124;pim_catalog_image;attr_gr_10;0;image et veritatis;image voluptas hic;image aperiam et;image labore voluptas;0;0;jpg,png;;;;
attr_125;pim_catalog_price_collection;attr_gr_7;0;price_collection ut quasi;price_collection eos non;price_collection facere quia;price_collection voluptatum a;0;0;;;;1;
attr_126;pim_catalog_boolean;attr_gr_7;0;boolean voluptates aut;boolean cupiditate aut;boolean architecto earum;boolean adipisci aperiam;0;0;;;;;
attr_127;pim_catalog_simpleselect;attr_gr_9;0;simpleselect voluptate minima;simpleselect eligendi libero;simpleselect quis nulla;simpleselect voluptas voluptatum;0;0;;;;;
attr_128;pim_catalog_number;attr_gr_0;0;number nostrum explicabo;number sed nostrum;number cumque aut;number excepturi suscipit;1;0;;;;1;1
attr_129;pim_catalog_text;attr_gr_9;0;text sit molestias;text iusto et;text sed voluptatibus;text sint explicabo;0;0;;;;;
attr_13;pim_catalog_date;attr_gr_10;0;date reprehenderit ullam;date aut alias;date in ipsam;date ipsum error;0;0;;;;;
attr_130;pim_catalog_multiselect;attr_gr_5;0;multiselect non modi;multiselect dicta odio;multiselect sed eligendi;multiselect necessitatibus eum;0;0;;;;;
attr_131;pim_catalog_metric;attr_gr_4;0;metric omnis unde;metric accusamus aut;metric totam repellat;metric iure facere;0;0;;Length;METER;1;1
attr_132;pim_catalog_price_collection;attr_gr_14;0;price_collection occaecati numquam;price_collection ratione minus;price_collection et ut;price_collection qui quo;0;0;;;;1;
attr_133;pim_catalog_simpleselect;attr_gr_10;0;simpleselect et voluptatibus;simpleselect facilis iusto;simpleselect voluptas molestiae;simpleselect rerum laboriosam;0;0;;;;;
attr_134;pim_catalog_number;attr_gr_8;1;number quis voluptatem;number qui beatae;number et similique;number ducimus odio;0;1;;;;1;1
attr_135;pim_catalog_textarea;attr_gr_0;0;textarea rerum doloribus;textarea dolores perferendis;textarea voluptas laudantium;textarea porro porro;0;0;;;;;
attr_136;pim_catalog_date;attr_gr_8;0;date nostrum aliquam;date itaque dolorem;date aut laboriosam;date et dolores;0;0;;;;;
attr_137;pim_catalog_boolean;attr_gr_5;0;boolean vel qui;boolean quia culpa;boolean et qui;boolean sequi officiis;0;0;;;;;
attr_138;pim_catalog_file;attr_gr_3;1;file doloremque voluptatibus;file illum eos;file eligendi culpa;file necessitatibus quis;0;0;pdf,doc;;;;
attr_139;pim_catalog_text;attr_gr_13;1;text laudantium recusandae;text exercitationem est;text aut quia;text ipsam et;0;0;;;;;
attr_14;pim_catalog_multiselect;attr_gr_0;0;multiselect ad aliquam;multiselect est dolore;multiselect eum aperiam;multiselect consequatur impedit;0;0;;;;;
attr_140;pim_catalog_textarea;attr_gr_13;0;textarea et quisquam;textarea quo a;textarea autem officiis;textarea asperiores maiores;0;0;;;;;
attr_141;pim_catalog_textarea;attr_gr_3;0;textarea provident omnis;textarea aperiam quia;textarea ut ullam;textarea itaque quam;1;0;;;;;
attr_142;pim_catalog_date;attr_gr_11;0;date ut officiis;date porro ratione;date est perspiciatis;date fugit omnis;0;0;;;;;
attr_143;pim_catalog_text;attr_gr_0;0;text quia accusantium;text et beatae;text fugit consequuntur;text facere laudantium;0;0;;;;;
attr_144;pim_catalog_metric;attr_gr_5;0;metric consequatur consequatur;metric omnis laborum;metric dolor nesciunt;metric eum suscipit;0;0;;Length;METER;1;1
attr_145;pim_catalog_image;attr_gr_8;0;image sequi maxime;image nihil labore;image soluta sequi;image aut inventore;0;0;jpg,png;;;;
attr_146;pim_catalog_textarea;attr_gr_5;0;textarea reiciendis praesentium;textarea at adipisci;textarea autem nulla;textarea amet dolores;0;0;;;;;
attr_147;pim_catalog_number;attr_gr_4;0;number minima ipsum;number aut fugit;number beatae voluptatem;number enim praesentium;0;0;;;;1;1
attr_148;pim_catalog_file;attr_gr_7;0;file reiciendis esse;file distinctio excepturi;file voluptates tenetur;file omnis sunt;0;0;pdf,doc;;;;
attr_149;pim_catalog_number;attr_gr_13;0;number architecto error;number nobis nesciunt;number inventore qui;number voluptas est;0;0;;;;1;1
attr_15;pim_catalog_textarea;attr_gr_10;0;textarea sit quia;textarea ducimus nobis;textarea eum atque;textarea doloremque ducimus;0;0;;;;;
attr_150;pim_catalog_textarea;attr_gr_14;0;textarea consectetur ea;textarea quos voluptatem;textarea rerum est;textarea veniam id;0;0;;;;;
attr_151;pim_catalog_image;attr_gr_3;0;image dolor veniam;image quos at;image labore necessitatibus;image aut pariatur;0;0;jpg,png;;;;
attr_152;pim_catalog_multiselect;attr_gr_1;0;multiselect itaque assumenda;multiselect eos culpa;multiselect quibusdam sit;multiselect alias eius;0;0;;;;;
attr_153;pim_catalog_boolean;attr_gr_7;0;boolean velit sint;boolean aliquam ea;boolean dolorem explicabo;boolean alias eum;0;0;;;;;
attr_154;pim_catalog_date;attr_gr_3;0;date ipsa animi;date voluptas et;date voluptas accusamus;date error quis;0;0;;;;;
attr_155;pim_catalog_boolean;attr_gr_9;1;boolean et doloribus;boolean voluptatem eaque;boolean sapiente rerum;boolean incidunt maiores;0;0;;;;;
attr_156;pim_catalog_image;attr_gr_8;0;image eius velit;image esse reiciendis;image quo beatae;image sapiente alias;0;0;jpg,png;;;;
attr_157;pim_catalog_number;attr_gr_0;0;number sint omnis;number nobis voluptas;number omnis sint;number unde quam;0;0;;;;1;1
attr_158;pim_catalog_multiselect;attr_gr_7;0;multiselect ipsam quisquam;multiselect est voluptatem;multiselect aliquam odit;multiselect asperiores quis;0;0;;;;;
attr_159;pim_catalog_metric;attr_gr_7;0;metric placeat error;metric porro sed;metric nobis vel;metric expedita et;0;0;;Length;METER;1;1
attr_16;pim_catalog_number;attr_gr_14;0;number consequatur occaecati;number est sequi;number illum nisi;number aut repudiandae;0;0;;;;1;1
attr_160;pim_catalog_simpleselect;attr_gr_11;0;simpleselect occaecati sed;simpleselect non porro;simpleselect neque perspiciatis;simpleselect corrupti quia;0;0;;;;;
attr_161;pim_catalog_multiselect;attr_gr_9;0;multiselect voluptate tempora;multiselect blanditiis consequuntur;multiselect quidem enim;multiselect omnis veniam;0;1;;;;;
attr_162;pim_catalog_image;attr_gr_0;0;image quae quia;image porro unde;image similique qui;image et minima;0;0;jpg,png;;;;
attr_163;pim_catalog_date;attr_gr_12;0;date hic aspernatur;date libero quo;date quasi repellendus;date quibusdam consequatur;0;0;;;;;
attr_164;pim_catalog_number;attr_gr_10;0;number doloremque maiores;number ducimus maxime;number dolores delectus;number nihil itaque;0;0;;;;1;1
attr_165;pim_catalog_number;attr_gr_0;1;number omnis et;number earum ut;number unde alias;number est nemo;0;0;;;;1;1
attr_166;pim_catalog_date;attr_gr_1;0;date tenetur eveniet;date est voluptatibus;date et rerum;date est aut;0;0;;;;;
attr_167;pim_catalog_image;attr_gr_3;0;image enim ratione;image voluptatem doloribus;image inventore aut;image enim explicabo;0;0;jpg,png;;;;
attr_168;pim_catalog_simpleselect;attr_gr_2;0;simpleselect vel rerum;simpleselect eveniet distinctio;simpleselect id omnis;simpleselect rerum omnis;0;0;;;;;
attr_169;pim_catalog_price_collection;attr_gr_7;0;price_collection voluptatem eveniet;price_collection velit enim;price_collection recusandae optio;price_collection eius saepe;0;0;;;;1;
attr_17;pim_catalog_price_collection;attr_gr_14;0;price_collection ut reiciendis;price_collection aut voluptas;price_collection officia et;price_collection nulla natus;0;0;;;;1;
attr_170;pim_catalog_date;attr_gr_3;0;date voluptatum voluptate;date beatae vitae;date aut est;date laboriosam distinctio;0;0;;;;;
attr_171;pim_catalog_image;attr_gr_14;0;image in et;image velit velit;image architecto consequatur;image eum iste;0;0;jpg,png;;;;
attr_172;pim_catalog_number;attr_gr_13;0;number iure nihil;number voluptas enim;number maiores sit;number in dolor;0;0;;;;1;1
attr_173;pim_catalog_multiselect;attr_gr_6;0;multiselect deserunt rem;multiselect ut maxime;multiselect omnis similique;multiselect aut est;0;0;;;;;
attr_174;pim_catalog_metric;attr_gr_9;0;metric ducimus velit;metric suscipit sapiente;metric sequi possimus;metric eaque aut;0;0;;Length;METER;1;1
attr_175;pim_catalog_image;attr_gr_6;0;image incidunt dolore;image fugiat quia;image quo quia;image velit quam;0;0;jpg,png;;;;
attr_176;pim_catalog_multiselect;attr_gr_8;0;multiselect quia eius;multiselect libero explicabo;multiselect facilis id;multiselect sed eum;0;0;;;;;
attr_177;pim_catalog_file;attr_gr_8;0;file molestiae sunt;file aspernatur expedita;file ea ut;file aliquam esse;0;0;pdf,doc;;;;
attr_178;pim_catalog_date;attr_gr_1;0;date mollitia est;date eligendi enim;date placeat error;date numquam consectetur;0;0;;;;;
attr_179;pim_catalog_multiselect;attr_gr_3;0;multiselect et modi;multiselect ratione ex;multiselect impedit ab;multiselect nesciunt delectus;0;0;;;;;
attr_18;pim_catalog_multiselect;attr_gr_4;0;multiselect rem voluptatem;multiselect et enim;multiselect alias ab;multiselect dicta ad;0;0;;;;;
attr_180;pim_catalog_number;attr_gr_8;0;number ratione quis;number quia temporibus;number corporis sit;number enim dolorem;0;0;;;;1;1
attr_181;pim_catalog_number;attr_gr_7;0;number qui doloremque;number quasi eos;number qui itaque;number ut quaerat;0;0;;;;1;1
attr_182;pim_catalog_text;attr_gr_5;0;text vitae doloribus;text enim quasi;text recusandae velit;text nemo et;0;0;;;;;
attr_183;pim_catalog_text;attr_gr_2;0;text officiis dolorem;text dolores repellat;text sunt officiis;text voluptas ipsam;0;1;;;;;
attr_184;pim_catalog_metric;attr_gr_2;0;metric occaecati explicabo;metric sed est;metric rerum alias;metric et earum;1;0;;Length;METER;1;1
attr_185;pim_catalog_date;attr_gr_4;0;date quod ex;date repellat ea;date voluptate vero;date rerum corporis;0;0;;;;;
attr_186;pim_catalog_image;attr_gr_7;0;image saepe voluptatum;image ut ducimus;image ut eligendi;image qui aut;0;0;jpg,png;;;;
attr_187;pim_catalog_text;attr_gr_6;0;text aliquam architecto;text libero sed;text et sit;text voluptas ullam;0;0;;;;;
attr_188;pim_catalog_number;attr_gr_11;0;number beatae magni;number nulla et;number ipsum consectetur;number ut mollitia;0;0;;;;1;1
attr_189;pim_catalog_textarea;attr_gr_10;0;textarea commodi molestiae;textarea minima nobis;textarea aliquid aut;textarea perferendis voluptatem;0;0;;;;;
attr_19;pim_catalog_number;attr_gr_7;0;number sed ducimus;number totam neque;number rerum porro;number quisquam enim;0;0;;;;1;1
attr_190;pim_catalog_boolean;attr_gr_10;0;boolean fugit ut;boolean voluptas animi;boolean labore odio;boolean culpa cum;0;0;;;;;
attr_191;pim_catalog_image;attr_gr_9;0;image ut quos;image nulla perspiciatis;image autem consequatur;image aut quae;0;0;jpg,png;;;;
attr_192;pim_catalog_boolean;attr_gr_3;0;boolean minus doloremque;boolean alias error;boolean delectus ut;boolean alias vero;0;0;;;;;
attr_193;pim_catalog_textarea;attr_gr_10;0;textarea rerum voluptate;textarea quis aspernatur;textarea mollitia praesentium;textarea qui voluptas;0;0;;;;;
attr_194;pim_catalog_textarea;attr_gr_8;0;textarea incidunt doloremque;textarea quisquam ducimus;textarea voluptas explicabo;textarea ullam in;0;0;;;;;
attr_195;pim_catalog_simpleselect;attr_gr_10;0;simpleselect sed vel;simpleselect voluptas accusamus;simpleselect ea recusandae;simpleselect est neque;0;0;;;;;
attr_196;pim_catalog_textarea;attr_gr_13;0;textarea repudiandae architecto;textarea excepturi consequatur;textarea asperiores vel;textarea pariatur laboriosam;0;0;;;;;
attr_197;pim_catalog_price_collection;attr_gr_14;0;price_collection suscipit cumque;price_collection enim ut;price_collection necessitatibus tenetur;price_collection excepturi tenetur;0;0;;;;1;
attr_198;pim_catalog_date;attr_gr_5;0;date ut occaecati;date consequatur occaecati;date at id;date impedit debitis;0;0;;;;;
attr_199;pim_catalog_price_collection;attr_gr_6;0;price_collection necessitatibus reprehenderit;price_collection rerum quis;price_collection accusamus saepe;price_collection tenetur sunt;0;0;;;;1;
attr_2;pim_catalog_multiselect;attr_gr_4;0;multiselect ut deleniti;multiselect qui at;multiselect officia sed;multiselect harum voluptatem;0;0;;;;;
attr_20;pim_catalog_file;attr_gr_10;0;file ut rerum;file nobis porro;file aut sequi;file voluptatum voluptatem;0;0;pdf,doc;;;;
attr_200;pim_catalog_boolean;attr_gr_12;0;boolean reprehenderit qui;boolean odit qui;boolean dolores rem;boolean ipsam quia;0;0;;;;;
attr_201;pim_catalog_boolean;attr_gr_5;0;boolean dolorem autem;boolean sit quasi;boolean sequi autem;boolean labore totam;0;0;;;;;
attr_202;pim_catalog_price_collection;attr_gr_10;0;price_collection placeat perspiciatis;price_collection alias non;price_collection eveniet expedita;price_collection similique fuga;0;1;;;;1;
attr_203;pim_catalog_boolean;attr_gr_12;0;boolean amet nesciunt;boolean officia nobis;boolean id sed;boolean autem ut;0;0;;;;;
attr_204;pim_catalog_multiselect;attr_gr_8;0;multiselect at repellat;multiselect voluptatem totam;multiselect unde ullam;multiselect nesciunt voluptate;0;0;;;;;
attr_205;pim_catalog_date;attr_gr_4;0;date expedita dicta;date libero molestiae;date perferendis sit;date beatae velit;0;0;;;;;
attr_206;pim_catalog_metric;attr_gr_9;0;metric sit praesentium;metric numquam officia;metric optio laborum;metric eum a;0;0;;Length;METER;1;1
attr_207;pim_catalog_number;attr_gr_3;0;number asperiores sapiente;number sit illo;number aut officiis;number autem dolores;0;0;;;;1;1
attr_208;pim_catalog_textarea;attr_gr_13;0;textarea soluta quos;textarea iure minima;textarea placeat autem;textarea deserunt laborum;0;0;;;;;
attr_209;pim_catalog_price_collection;attr_gr_0;0;price_collection adipisci in;price_collection ad adipisci;price_collection dolores quae;price_collection perspiciatis inventore;0;0;;;;1;
attr_21;pim_catalog_text;attr_gr_5;1;text distinctio aliquid;text qui perferendis;text et ea;text magni facilis;0;0;;;;;
attr_210;pim_catalog_textarea;attr_gr_7;0;textarea sit itaque;textarea iusto accusamus;textarea blanditiis praesentium;textarea autem excepturi;0;0;;;;;
attr_211;pim_catalog_price_collection;attr_gr_3;0;price_collection repellat et;price_collection quam delectus;price_collection possimus quod;price_collection sint aliquam;0;0;;;;1;
attr_212;pim_catalog_number;attr_gr_8;1;number aut nostrum;number odit fugit;number dolorem unde;number dignissimos ut;0;0;;;;1;1
attr_213;pim_catalog_simpleselect;attr_gr_12;0;simpleselect dicta iusto;simpleselect vero ducimus;simpleselect sapiente fugit;simpleselect pariatur cum;0;0;;;;;
attr_214;pim_catalog_simpleselect;attr_gr_11;0;simpleselect voluptatem qui;simpleselect laborum non;simpleselect voluptatibus dolores;simpleselect autem id;0;0;;;;;
attr_215;pim_catalog_date;attr_gr_2;1;date rem voluptate;date qui dicta;date dolore dolorem;date consequuntur autem;0;0;;;;;
attr_216;pim_catalog_simpleselect;attr_gr_13;0;simpleselect adipisci cumque;simpleselect voluptas aut;simpleselect aut deserunt;simpleselect consequuntur qui;0;0;;;;;
attr_217;pim_catalog_text;attr_gr_0;0;text cupiditate molestias;text iste et;text ut numquam;text veniam quo;0;0;;;;;
attr_218;pim_catalog_boolean;attr_gr_1;0;boolean inventore quis;boolean ea consequuntur;boolean ipsam veritatis;boolean blanditiis necessitatibus;0;0;;;;;
attr_219;pim_catalog_date;attr_gr_10;0;date sit natus;date minima in;date atque esse;date soluta exercitationem;0;0;;;;;
attr_22;pim_catalog_file;attr_gr_8;0;file ut nulla;file facilis corrupti;file consequatur dolorum;file perspiciatis excepturi;0;0;pdf,doc;;;;
attr_220;pim_catalog_multiselect;attr_gr_2;0;multiselect quae iure;multiselect amet eos;multiselect et assumenda;multiselect doloremque nemo;0;0;;;;;
attr_221;pim_catalog_image;attr_gr_3;0;image eius nesciunt;image voluptas nemo;image omnis repudiandae;image quos ducimus;0;0;jpg,png;;;;
attr_222;pim_catalog_date;attr_gr_2;0;date pariatur quia;date fuga aut;date natus saepe;date quia et;0;0;;;;;
attr_223;pim_catalog_simpleselect;attr_gr_4;0;simpleselect pariatur perspiciatis;simpleselect et doloribus;simpleselect eligendi fuga;simpleselect et distinctio;1;0;;;;;
attr_224;pim_catalog_boolean;attr_gr_3;0;boolean eos assumenda;boolean repudiandae occaecati;boolean commodi impedit;boolean animi autem;0;0;;;;;
attr_225;pim_catalog_boolean;attr_gr_12;0;boolean quisquam reiciendis;boolean qui sed;boolean earum placeat;boolean cumque dolore;0;0;;;;;
attr_226;pim_catalog_textarea;attr_gr_0;0;textarea quis magnam;textarea aut animi;textarea tempore dolor;textarea est quasi;0;0;;;;;
attr_227;pim_catalog_text;attr_gr_13;0;text ducimus voluptatem;text voluptas in;text iure consequatur;text minima optio;0;0;;;;;
attr_228;pim_catalog_image;attr_gr_0;0;image quae distinctio;image illo minima;image aperiam doloremque;image laudantium autem;0;0;jpg,png;;;;
attr_229;pim_catalog_textarea;attr_gr_9;0;textarea delectus molestias;textarea esse ad;textarea voluptates consequatur;textarea laudantium et;1;0;;;;;
attr_23;pim_catalog_file;attr_gr_14;0;file repudiandae minima;file tenetur perferendis;file autem exercitationem;file voluptatem qui;0;0;pdf,doc;;;;
attr_230;pim_catalog_multiselect;attr_gr_3;0;multiselect minus atque;multiselect quia quia;multiselect quia enim;multiselect soluta quos;0;0;;;;;
attr_231;pim_catalog_boolean;attr_gr_14;0;boolean laudantium reiciendis;boolean possimus qui;boolean ad repudiandae;boolean assumenda omnis;0;0;;;;;
attr_232;pim_catalog_textarea;attr_gr_3;0;textarea consequuntur nisi;textarea optio labore;textarea mollitia perferendis;textarea autem officia;0;0;;;;;
attr_233;pim_catalog_text;attr_gr_14;0;text aut aut;text accusantium et;text et officia;text expedita sunt;0;0;;;;;
attr_234;pim_catalog_price_collection;attr_gr_13;0;price_collection voluptatem natus;price_collection amet voluptatibus;price_collection veritatis tempore;price_collection excepturi cupiditate;1;0;;;;1;
attr_235;pim_catalog_textarea;attr_gr_1;0;textarea commodi possimus;textarea ut dicta;textarea pariatur quod;textarea doloremque magnam;0;0;;;;;
attr_236;pim_catalog_simpleselect;attr_gr_5;0;simpleselect sint non;simpleselect molestias reiciendis;simpleselect quas ut;simpleselect a quos;0;0;;;;;
attr_237;pim_catalog_multiselect;attr_gr_11;1;multiselect sit consequuntur;multiselect incidunt molestiae;multiselect sed qui;multiselect at aut;0;0;;;;;
attr_238;pim_catalog_file;attr_gr_0;0;file quo sequi;file culpa sit;file ducimus ut;file labore delectus;0;1;pdf,doc;;;;
attr_239;pim_catalog_text;attr_gr_14;0;text velit ab;text quasi ut;text nobis consequatur;text qui assumenda;0;0;;;;;
attr_24;pim_catalog_file;attr_gr_12;0;file eligendi atque;file quos provident;file velit dolorem;file distinctio illum;0;0;pdf,doc;;;;
attr_240;pim_catalog_boolean;attr_gr_8;0;boolean totam magnam;boolean earum aut;boolean quia aliquid;boolean veritatis quam;0;0;;;;;
attr_241;pim_catalog_multiselect;attr_gr_2;0;multiselect voluptas porro;multiselect eaque qui;multiselect quis sit;multiselect ea qui;0;0;;;;;
attr_242;pim_catalog_price_collection;attr_gr_11;0;price_collection sequi adipisci;price_collection ullam quis;price_collection architecto in;price_collection omnis aut;0;0;;;;1;
attr_243;pim_catalog_text;attr_gr_8;0;text non cumque;text expedita est;text possimus et;text harum sit;0;0;;;;;
attr_244;pim_catalog_file;attr_gr_6;0;file quae consequuntur;file aliquam optio;file et itaque;file nostrum occaecati;0;0;pdf,doc;;;;
attr_245;pim_catalog_simpleselect;attr_gr_2;0;simpleselect eveniet vel;simpleselect quae at;simpleselect doloribus ullam;simpleselect numquam facilis;0;1;;;;;
attr_246;pim_catalog_text;attr_gr_4;1;text natus officiis;text maiores eum;text aut reiciendis;text minus mollitia;0;0;;;;;
attr_247;pim_catalog_multiselect;attr_gr_2;0;multiselect iste iure;multiselect totam quo;multiselect ad dolor;multiselect voluptate voluptatibus;0;0;;;;;
attr_248;pim_catalog_file;attr_gr_12;1;file fugit nam;file sapiente sequi;file enim at;file libero qui;1;0;pdf,doc;;;;
attr_249;pim_catalog_metric;attr_gr_14;0;metric vel aperiam;metric ea magnam;metric nobis quia;metric culpa dicta;0;0;;Length;METER;1;1
attr_25;pim_catalog_date;attr_gr_5;0;date quasi ab;date commodi aut;date velit et;date harum sequi;0;0;;;;;
attr_250;pim_catalog_multiselect;attr_gr_9;0;multiselect porro ut;multiselect ut iusto;multiselect voluptas ea;multiselect temporibus iusto;0;0;;;;;
attr_251;pim_catalog_price_collection;attr_gr_2;0;price_collection totam et;price_collection aut ullam;price_collection nihil laboriosam;price_collection libero deserunt;0;0;;;;1;
attr_252;pim_catalog_boolean;attr_gr_5;0;boolean ipsam saepe;boolean corrupti inventore;boolean qui excepturi;boolean consequatur aspernatur;0;0;;;;;
attr_253;pim_catalog_text;attr_gr_4;0;text rem et;text sint rem;text reiciendis qui;text placeat qui;0;0;;;;;
attr_254;pim_catalog_date;attr_gr_14;0;date dignissimos qui;date repellat consectetur;date et reprehenderit;date eveniet consequuntur;0;0;;;;;
attr_255;pim_catalog_image;attr_gr_13;0;image repellendus qui;image non sed;image possimus a;image facere voluptatum;0;0;jpg,png;;;;
attr_256;pim_catalog_number;attr_gr_3;0;number corrupti quos;number id quod;number error expedita;number sapiente dolore;0;0;;;;1;1
attr_257;pim_catalog_simpleselect;attr_gr_0;0;simpleselect adipisci et;simpleselect non doloremque;simpleselect animi tempora;simpleselect libero temporibus;0;0;;;;;
attr_258;pim_catalog_metric;attr_gr_8;0;metric fugiat qui;metric sapiente non;metric aut iusto;metric atque quis;0;0;;Length;METER;1;1
attr_259;pim_catalog_metric;attr_gr_7;1;metric rerum sed;metric voluptatem nostrum;metric doloribus incidunt;metric sint exercitationem;0;0;;Length;METER;1;1
attr_26;pim_catalog_simpleselect;attr_gr_10;0;simpleselect est at;simpleselect distinctio et;simpleselect quo quia;simpleselect nemo laboriosam;0;0;;;;;
attr_260;pim_catalog_date;attr_gr_2;0;date dolorem quia;date voluptates iusto;date aut facere;date adipisci deserunt;0;1;;;;;
attr_261;pim_catalog_textarea;attr_gr_10;0;textarea eum consectetur;textarea minima modi;textarea tempore voluptas;textarea eaque natus;0;0;;;;;
attr_262;pim_catalog_text;attr_gr_0;0;text dolores sint;text suscipit et;text quasi laboriosam;text voluptates accusamus;0;0;;;;;
attr_263;pim_catalog_price_collection;attr_gr_2;0;price_collection nisi molestiae;price_collection reprehenderit incidunt;price_collection at perferendis;price_collection inventore nihil;0;0;;;;1;
attr_264;pim_catalog_simpleselect;attr_gr_8;0;simpleselect debitis velit;simpleselect facilis voluptate;simpleselect id aliquid;simpleselect voluptatem voluptatem;0;0;;;;;
attr_265;pim_catalog_boolean;attr_gr_2;0;boolean repudiandae hic;boolean reprehenderit aut;boolean consequatur voluptatem;boolean qui laborum;0;0;;;;;
attr_266;pim_catalog_number;attr_gr_13;0;number quia eaque;number hic harum;number repellendus non;number ab placeat;0;0;;;;1;1
attr_267;pim_catalog_textarea;attr_gr_6;0;textarea ea amet;textarea earum quae;textarea ipsam dicta;textarea beatae alias;0;0;;;;;
attr_268;pim_catalog_textarea;attr_gr_9;0;textarea voluptatem vitae;textarea eligendi eveniet;textarea ut facilis;textarea natus aliquid;0;0;;;;;
attr_269;pim_catalog_metric;attr_gr_8;0;metric iure quae;metric tenetur nisi;metric labore nemo;metric perferendis quia;0;0;;Length;METER;1;1
attr_27;pim_catalog_price_collection;attr_gr_9;0;price_collection sit corrupti;price_collection sequi nulla;price_collection quas non;price_collection doloribus nihil;0;0;;;;1;
