sku;family;groups;categories;attr_70;attr_38;attr_52;attr_23;attr_47;attr_17;attr_98-EUR;attr_98-USD;attr_63;attr_67;attr_67-unit;attr_29;attr_34;attr_54;attr_99;attr_79;attr_8;attr_89;attr_49;attr_20;attr_21;attr_53-en_US;attr_0-en_US-ecommerce;attr_0-en_US-print;attr_97;name;attr_33;attr_28-EUR;attr_28-USD;attr_41;attr_14-ecommerce;attr_14-print;attr_40;attr_13;attr_88;attr_39-en_US;attr_69;attr_58;attr_32;attr_62;attr_62-unit;attr_3-ecommerce;attr_3-print;attr_9-ecommerce;attr_9-print;attr_15;attr_59-ecommerce;attr_59-print;attr_19-EUR;attr_19-USD;attr_18;attr_71-EUR;attr_71-USD;attr_1;attr_86;attr_4;attr_66-EUR;attr_66-USD;attr_36;attr_11-EUR;attr_11-USD;attr_83-EUR;attr_83-USD;attr_43-en_US;attr_76;attr_27;attr_12;attr_78;attr_75-en_US;attr_56;attr_51;attr_46-ecommerce;attr_46-print;attr_96;attr_85;attr_82;attr_90;attr_57-en_US;attr_57-en_US-unit;attr_24;attr_77;attr_60;attr_42;attr_42-unit;attr_25;attr_35;attr_35-unit;attr_50;attr_44;attr_92-ecommerce;attr_92-print;attr_7;attr_30;attr_93;attr_5;attr_91;attr_2;attr_6;attr_68;attr_68-unit;attr_81-en_US-ecommerce;attr_81-en_US-print;attr_22;attr_22-unit;attr_87;attr_31;attr_73;attr_55;attr_48;attr_37;attr_61;attr_61-unit;attr_74;attr_45-en_US;attr_95;attr_95-unit;attr_94-en_US;attr_65;attr_10-EUR;attr_10-USD;attr_80;attr_16;attr_72;attr_26;attr_64;attr_84
id-10;fam_18;;master_6_5_3,master_0_2;;;;;;;;;;;;;;;;;;;;;attr_opt_attr_218;;;;;;;;;;;;;;;1994-12-25;;"Hello world!";;;;;;;;;;;;;;;;;;;;;;110;169;;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;"Nostrum eligendi est quam ut quos.";162;;;;;;;;
id-11;fam_13;;master_6_0_5,master_4_1_6;;1970-03-09;;attr_opt_attr_235;2007-01-03;;;;;256;METER;;;;;;;;;;attr_opt_attr_210;;;;;"Rerum sit omnis assumenda ut.";;;;;;;;;;2003-02-15;;;;;;1993-05-31;1995-03-09;0;0;;;;;;;769;702;;;;;;;;;76;789;1981-10-05;361;642;"Delectus ut nihil vitae est.";;"Velit odit distinctio rerum sapiente corrupti doloremque incidunt omnis.";;;;;;"Voluptatem ab neque velit dignissimos sint rerum qui.";;;;;;;"Est modi sapiente iste maxime qui sed.";;;;;;;410;"Nobis corporis fuga omnis officia.";"Sunt qui id ipsa quas.";"Laudantium est adipisci earum voluptas praesentium doloremque non magni.";;"Suscipit quod illo temporibus deleniti.";93;;517;;;;1;0;869;METER;;"Dolorem amet eos officiis rem rerum reiciendis.";;;;;;;1;;;;"Laborum velit et iste.";;403;52;;;;;;
id-12;fam_30;;master_4_5_5,master_2_6_6;;;;attr_opt_attr_230;1998-11-27;"Quo et sit necessitatibus quis quis.";;;attr_opt_attr_638;;;;;77;;;;;attr_opt_attr_493;1975-02-23;attr_opt_attr_214;;attr_opt_attr_05;attr_opt_attr_01;;"Et ex delectus commodi quam cupiditate.";;742;45;;;;;;;2014-03-11;"Molestias impedit non minus.";"Hello world!";;;;;;1;0;;attr_opt_attr_596;attr_opt_attr_599;;;;;;;;;;;;951;827;;;;551;;;;"Et ducimus et maiores facere incidunt occaecati ut.";attr_opt_attr_560;1971-12-05;;;attr_opt_attr_967;"Ducimus suscipit quod quos possimus eveniet.";;;;;490;;"Facilis cupiditate sequi eligendi voluptatem doloribus.";;;attr_opt_attr_258;57;METER;;;;;;;;;;268;;;;;;;;;;;;;1982-02-20;;;;1;215;METER;"Voluptates consequatur et earum ducimus placeat.";;;;;;1;;;
id-13;fam_10;;master_6_2_2,master_3_4;0;;;attr_opt_attr_236;2009-08-14;;;;;719;METER;;attr_opt_attr_344;187;;;;;;1998-04-25;;;;;;"Quae odio aliquam tempora ut dicta accusantium omnis.";;;;;;;;;2013-03-13;1985-07-17;;;;300;METER;1981-06-22;1979-01-23;1;1;;;;;;;551;117;;;;;;"Magnam quaerat recusandae facere veritatis.";;;224;152;;;768;;;;;2010-09-08;;;attr_opt_attr_967;;;;298;METER;;;;;;attr_opt_attr_259;;;;;"Sit rerum adipisci qui non eveniet ex ad natus.";"Officia sapiente sed velit.";;;;;attr_opt_attr_910;869;;;;;;233;METER;;"Voluptatem dolore voluptates quasi nisi.";;;;;7;METER;1;;;;"Voluptas non asperiores unde eos voluptatibus dignissimos et.";726;;;;;;;;
id-14;fam_33;;master_4_0_4,master_2_6_5;1;1989-05-23;;attr_opt_attr_231;;;;;;;;;;;;;;;;1984-04-22;attr_opt_attr_211;;attr_opt_attr_02;attr_opt_attr_03;;"Dolorem repellat recusandae ad animi ut nam fugit.";;;;;;;;;;2004-05-16;;;;;;2016-02-21;2010-09-27;0;1;;;;;;;712;845;;;;153;17;;;;;;1973-01-06;200;646;;0;;;2010-06-25;;;;;;;;;357;;;;;;185;METER;0;418;;;"Beatae error vero nisi repudiandae.";;;;;;;;;;;345;METER;;;;;;;283;METER;1;;265;METER;"Atque molestiae ullam neque eius.";;;;;;1;;;
id-15;fam_36;;master_2_3_4,master_1_2_4;;;;;;"Praesentium et officiis perferendis culpa earum.";329;238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Laboriosam et aut suscipit eos exercitationem beatae.";;;;;2006-03-30;2012-12-05;;;;;;;;;;;;;;;;;;;;;;;593;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;654;;;;;1975-11-01;;;;0;;;;;;;;;;;;
id-16;fam_24;;master_5_3_6,master_4_3;;;;;;;533;550;;;;;;266;;;;;attr_opt_attr_495;2001-10-05;;;;;;"Quis nam voluptates aut alias sit vitae tempora.";;109;64;;476;518;;;1984-05-10;;"Quaerat voluptas totam quidem vero sit ipsum quasi.";"Hello world!";;;;;;;;attr_opt_attr_150;;;39;527;;;;;;;;;"Sint quo autem itaque necessitatibus non.";;;143;203;;;;;;;;;1994-06-13;1987-06-26;;;;;;;;;"Vel sit ut alias esse ipsam in non.";166;METER;;990;METER;1;;;;"Commodi quia rerum voluptatem harum labore.";;"Aliquam eaque accusantium cumque consequatur.";;;125;;;;;;;;;"Nostrum at omnis dolorem ex itaque ut recusandae.";;;;;;;;;;;;;372;953;;;1;;;
id-17;fam_14;;master_4_2_3,master_0_6_2;;;;;;;;;;;;;;;;;;;;;;;attr_opt_attr_00;attr_opt_attr_01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;attr_opt_attr_966;;;;488;METER;;;"Eum laboriosam et minus quod voluptas.";;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;"Rerum aut corporis laudantium necessitatibus mollitia molestiae.";;;;;;;;;
id-18;fam_26;;master_3_5,master_4_2_4;;;;;2009-03-27;"Nesciunt et aut esse accusantium earum deserunt sed.";;;attr_opt_attr_634;;;;;43;1;;;;attr_opt_attr_493;;;;;;;"Et magni quod ut commodi rerum.";;644;226;;336;767;;0;1997-05-02;;"Odio dolorem in illo velit voluptatum aliquid.";;;315;METER;2014-11-15;2000-11-23;;;;;;;;;;;;780;;685;108;;;;751;780;;;630;;;"Dolorem aliquam voluptas quod iusto nam perspiciatis.";;;;;attr_opt_attr_969;;;;;;582;;;;;;;;1;;;;"Voluptas officiis qui laboriosam velit ducimus.";;;;;857;;;;;;;;;;;;;;44;METER;;1;;;;613;;;;;1;;;
id-19;fam_29;;master_1_1_4,master_4_1_5;;;;;;"Illo illum fugiat enim blanditiis.";;;;;;;;;;;;;;;;;;;;"Quasi molestiae quia dolore adipisci odit minima omnis.";;;;;;;;;;;"Velit et nihil perferendis porro voluptatem.";;;;;2004-10-08;1983-03-24;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;503;METER;;;;;;;;;;;;;;;;;"Omnis corrupti deserunt ratione illum aspernatur atque.";;;;;;;;;
id-20;fam_45;;master_6_1_0,master_3_3;;;;;;;;;;;;;;;;;;;;;attr_opt_attr_211;;;;;;;;;;;;;;;;;"Hello world!";;;;;;;;;;;114;490;;;;;;;;;;;;;;;;;;;;;1986-09-29;;;;;;;;;;;;;;;;;;925;;;;;;;;;;;;;;;;;;;;;2009-05-11;;;;;;;;;;;;;;;attr_opt_attr_646;
id-21;fam_28;;master_2_3,master_4_1;;;;;;;;;;;;;;696;0;;;;;;;;;;;"Voluptatibus quidem minima consequatur nostrum sunt quo voluptatum et.";;;;;;;;;;;;;;;;;;;;;attr_opt_attr_597;attr_opt_attr_598;496;958;;;;;490;;;;;;;618;486;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1979-06-08;;;;;;;;;;;;;;;;
id-22;fam_5;;master_0_4_4,master_6_0_1;0;1988-10-06;attr_opt_attr_522;attr_opt_attr_230;1996-04-12;"Est ut qui quas facilis.";826;512;attr_opt_attr_633;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
id-23;fam_38;;master_2_4_0,master_5_6;;;attr_opt_attr_526;;;"Modi laudantium unde sint qui officiis.";;;;599;METER;;;;;;;;;;;;attr_opt_attr_08;attr_opt_attr_01;;"Aperiam quia consequatur quia quas blanditiis architecto et illo.";;;;;;;;0;;2001-05-02;"Ea dolores quis ut occaecati.";"Hello world!";;;;;;;;attr_opt_attr_156;;;;;;854;966;;;;807;935;;155;887;;;;968;630;"Voluptatem et impedit quam quae suscipit.";;;attr_opt_attr_562;1993-06-19;1995-08-07;2014-08-18;attr_opt_attr_966;"Omnis voluptatum ea occaecati voluptates modi.";;;223;METER;599;;;39;METER;;;;;;;;;;;;attr_opt_attr_916;;attr_opt_attr_65;;;;;;;106;;;;;;432;METER;;0;;;"Vel porro aperiam est qui laudantium quis officia.";876;;;;;1;;attr_opt_attr_647;"Eligendi et nemo est sapiente."
id-24;fam_15;;master_0_6_0,master_4_1_2;;;attr_opt_attr_529;;1978-11-04;;126;841;attr_opt_attr_630;;;;;111;;0;;;;;attr_opt_attr_214;;;;;"Nesciunt voluptatem est qui quo ex.";;;;;;;;;1991-07-02;1996-10-27;;;;;;;;;;;;;657;974;;50;698;;;"Placeat impedit est accusantium iusto accusamus magnam.";;;;;;;;;850;280;"Sit reiciendis eos voluptas.";;;;1999-06-21;;;;;;;;;;;;;;;925;METER;;269;;;"Minus minima id nostrum omnis a inventore nostrum.";;;464;;;attr_opt_attr_63;650;METER;;;955;METER;;;;;;;5;METER;0;1;;;"Quis dolor quaerat voluptate et iste sit.";573;331;24;;;;;;"Illum consequuntur eligendi est et suscipit illum sunt."
id-25;fam_43;;master_5,master_1_1_6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1982-12-19;;;"Fuga optio rerum temporibus expedita.";1;;;;;;;;;;;;;;;;;attr_opt_attr_256;;;;;;;"Sapiente officiis laborum sed dolor ipsa veritatis.";;;;;;;;;;;;;995;;;;;;;;;;112;METER;;;;;;;;;;"Natus velit officiis officiis tenetur nulla."
id-26;fam_17;;master_4_6_3,master_3_6_0;;;;;;"Sed harum voluptatem praesentium aut amet non.";;;;;;0;;363;0;0;;;attr_opt_attr_494;;;;;;;"Dignissimos qui veritatis ipsum deleniti.";;;;;;;;1;;;;"Hello world!";;;;;;;;attr_opt_attr_157;attr_opt_attr_591;attr_opt_attr_593;;;;;;;;;;;;589;10;;;1981-07-14;;12;"Modi ut deleniti qui at.";;;attr_opt_attr_565;;;;attr_opt_attr_966;"Rerum rem consequuntur nemo suscipit a totam molestiae.";;;;;;;;;;attr_opt_attr_255;;;;456;;;;;;;;64;attr_opt_attr_62;997;METER;0;0;398;METER;611;;;;;;;;0;;;;;;407;747;;;0;;attr_opt_attr_641;
id-27;fam_37;;master_2_5_1,master_5_0;;;;;;;;;;;;0;attr_opt_attr_345;;;;;;;;;;attr_opt_attr_03;attr_opt_attr_09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;attr_opt_attr_567;;;;attr_opt_attr_965;;;;;;;;;;;attr_opt_attr_259;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;attr_opt_attr_641;
id-28;fam_7;;master_3_4_5,master_2_1_6;;1973-03-28;;;;"Rerum nobis porro aut sequi voluptatum.";312;2;attr_opt_attr_632;614;METER;;;50;;1;;;;2009-04-03;;;;;;"At distinctio et quo quia nemo laboriosam sunt.";;455;693;;;;;;;1970-12-31;"Autem exercitationem voluptatem qui.";;;;;1992-06-04;1992-12-16;;;attr_opt_attr_152;;;;;;86;276;;;;633;155;;;;411;824;1982-12-27;;235;;;;attr_opt_attr_561;;;;;"Corrupti consequatur dolorum perspiciatis excepturi ducimus repudiandae.";;;;;;;;661;METER;;;;0;;;;;;;;;531;attr_opt_attr_66;397;METER;;;971;METER;;"Commodi aut velit et.";;;;;;;;0;;;"Aliquid qui perferendis et ea magni facilis.";;;;;;;;;"Voluptas officia et nulla natus exercitationem rem voluptatem et."
id-29;fam_24;;master_1_0_3,master_5_6_1;;;;;;;;;;;;;;;;;;;;;;;;;;"Doloribus nihil quidem itaque laudantium saepe fugiat.";;;;;801;710;;;1988-05-06;;;;;;;;;;;attr_opt_attr_153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Modi nihil nam iusto modi veritatis sint.";;;;;;;;;;;;"Voluptates explicabo voluptatem quaerat sint.";;;;;;;;;;;21;;;;;;;;;;;;;;;;;;;;attr_opt_attr_649;
id-30;fam_39;;master_3_6_3,master_6_6_5;;;;attr_opt_attr_234;;;;;attr_opt_attr_636;651;METER;0;;;;0;;;;;;;;;;"Autem quos consequatur rem itaque.";;622;582;;;;;;;;"Laboriosam optio placeat natus unde.";;;;;;;;;;;;597;274;;;;;402;;;;;;;766;343;1970-02-12;100;876;;;"Asperiores iure itaque non.";;;1971-01-18;1991-03-01;;;;;;;;;;;;;554;METER;1;401;;;"Quia laborum non et qui aut ipsa quia quidem.";;"Deserunt dolor recusandae dolor illo nisi dolores.";292;;302;;;;;;414;METER;375;"Quisquam at optio aut voluptatum dolores.";;;;;966;METER;;;503;METER;;;;;;;0;;;
id-31;fam_32;;master_5_3_5,master_4_5_4;;;;;;;;;;;;;;;;;;;;;;;attr_opt_attr_08;attr_opt_attr_04;;;;379;348;;;;;;;;;;;;;;;;;attr_opt_attr_153;;;590;616;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Doloremque et nostrum velit qui id accusantium quia ut.";"Autem maxime est qui enim.";;;"Alias consequatur aut reprehenderit soluta officia illum voluptates.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;attr_opt_attr_649;
id-32;fam_34;;master_2_0_4,master_4_4_0;0;;attr_opt_attr_529;;;;743;703;;;;0;;;1;;;;;;;;attr_opt_attr_02;attr_opt_attr_01;;"Qui beatae voluptatem et autem necessitatibus tenetur.";;;;;;;;;;;;"Hello world!";;;;2006-07-28;1970-05-21;;;attr_opt_attr_150;;;;;;913;176;;;;;;;420;198;713;956;;870;;"A qui at sapiente in voluptates natus quam ab.";1;;;;;;;;;;;;;;;679;METER;attr_opt_attr_258;849;METER;0;;;;"Eius iste ut quo ipsa iste ut et.";;;;;655;attr_opt_attr_65;638;METER;;;971;METER;910;"Occaecati quos est provident fugiat amet veritatis.";;;;1977-10-30;;;;1;;;;772;;;;;;;;"Fugiat excepturi voluptas suscipit recusandae ea maiores ut."
id-33;fam_26;;master_3_4_2,master_3_0_2;;;;;1983-07-16;"Ad porro doloribus consequuntur tenetur.";;;attr_opt_attr_634;;;0;;832;1;;;;attr_opt_attr_496;;;;;;;"Consequuntur labore sed optio magnam at rem tenetur.";;735;38;;;;;0;2001-10-08;;"Voluptatem autem fugiat facilis et.";;;;;1980-06-25;1990-11-18;;;;;;;;;;;;;;5;709;;;;78;803;;;389;;0;"Dolorum quas aliquid quo quae voluptatem optio quia.";;2003-08-03;;;attr_opt_attr_963;;;;;;234;;;;;;906;METER;0;560;;;;;;;;471;;52;METER;;;;;;;;;;;;;;0;468;METER;;778;865;712;;;1;;;"Voluptatum sint eos amet vel aut."
id-34;fam_18;;master_1_0_0,master_2_6_6;1;;attr_opt_attr_528;;;;;;;;;0;;215;;;;;;;attr_opt_attr_215;;;;;"Fugiat dolorem officia aut voluptatibus dolorem omnis consequatur sed.";;;;;;;;;1972-02-27;1977-08-31;;"Hello world!";;;;;;;;attr_opt_attr_155;attr_opt_attr_599;attr_opt_attr_590;;;;879;258;;;;423;502;;357;834;;;;2;632;;;;;1981-01-24;1994-02-08;1976-08-10;attr_opt_attr_969;;;;449;METER;;;;;;attr_opt_attr_254;;;;;;;;;;;;;;;;0;0;;;;;;;;;221;METER;1;;;;"Nemo ratione dolores magnam quia explicabo.";29;;;;;;;attr_opt_attr_647;
id-35;fam_37;;master_3_6_0,master_0_2_1;;;;;;;;;;;;0;attr_opt_attr_349;;;;;;;;;;attr_opt_attr_07;attr_opt_attr_08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;attr_opt_attr_560;;;;attr_opt_attr_967;;;;;;;;;;;attr_opt_attr_258;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;attr_opt_attr_641;
id-36;fam_8;;master_6_5_5,master_3_2_3;;;;attr_opt_attr_235;;;;;attr_opt_attr_636;;;1;;;1;1;;;;;;;;;;"Impedit aut rerum nesciunt non quam nobis.";;;;;;;;;;1991-01-27;;;;367;METER;2008-05-12;2003-08-14;0;0;attr_opt_attr_159;attr_opt_attr_590;attr_opt_attr_593;;;;582;128;;;;;;;;;412;187;2005-07-10;;194;;1;;;;1984-10-19;1980-11-22;;"Maiores ea nihil aut dolorum et non.";;;;;;;;402;METER;attr_opt_attr_250;;;;;"Aliquam aut nesciunt et corporis suscipit nam.";"Aut velit saepe at et.";"Non in quis velit nemo esse.";;;;;;attr_opt_attr_66;38;METER;;;;;;;;;;;;;;;;;;818;287;561;;;0;;;
id-37;fam_49;;master_2_1_5,master_4_6_5;;;;;;;;;;;;;;;;;;;;;attr_opt_attr_218;;;;;"Vel itaque dolores debitis odio sint quis.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Esse ut asperiores et beatae facilis et.";;;;613;464;;;;;;;1;;attr_opt_attr_565;;;;;;;;696;METER;;;;520;METER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
id-38;fam_8;;master_3_3_4,master_4_6_4;1;2014-02-20;attr_opt_attr_528;attr_opt_attr_232;;;;;attr_opt_attr_639;;;1;;910;0;;;;attr_opt_attr_499;;;;attr_opt_attr_00;attr_opt_attr_07;;"Aut totam repellat iure facere maxime occaecati numquam.";;;;;;;;;;;;;;;;1975-06-08;2015-09-21;;;attr_opt_attr_152;attr_opt_attr_591;attr_opt_attr_599;33;802;;700;104;;;;;;;;;;;1994-05-12;;240;;0;;;;1993-07-18;1990-04-24;;;;;63;METER;;;;;;attr_opt_attr_257;890;METER;1;;"Architecto earum adipisci aperiam numquam voluptate minima eligendi.";"Quis nulla voluptas voluptatum fugiat nostrum explicabo.";"Ut quasi eos non facere quia voluptatum a.";;;;;;attr_opt_attr_65;549;METER;;;;;;;;;;;;;;;;;;331;;;;;0;;attr_opt_attr_648;
id-39;fam_36;;master_6_2_1,master_1_5_6;;;;;;"Voluptatem qui beatae et similique ducimus.";712;788;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Voluptatibus facilis iusto voluptas molestiae rerum laboriosam corrupti.";;;;;2016-02-13;1993-02-22;;;;;;;;;;;;;;;;;;;;;;;944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;;;1976-09-08;;;;1;;;;;;;;;;;;
