code;axis;type;label-fr_FR;label-en_US;label-de_DE;label-ru_RU;label-it_IT;attr_668;attr_4017;attr_760;attr_1068;attr_3918;attr_837;attr_900;attr_677;attr_3788;attr_2315;attr_3714;attr_4845;attr_1507;attr_59;attr_1075;attr_4284;attr_1862;attr_3778;attr_1092;attr_1907;attr_790;attr_2343;attr_4498;attr_1628;attr_2479;attr_0;attr_555;attr_370;attr_1448;attr_4390;attr_1391;attr_4657;attr_2304;attr_4085;attr_1125;attr_3864;attr_1740;attr_90;attr_1665;attr_3192;attr_3646;attr_2986;attr_3;attr_3902;attr_2089;attr_1651;attr_3073;attr_2240;attr_4926;attr_2999;attr_486;attr_2553;attr_4300;attr_4643;attr_4621;attr_923;attr_3092;attr_1561;attr_4843;attr_2644;attr_3134;attr_1394;attr_3545;attr_3085;attr_197;attr_1434;attr_183;attr_2876;attr_2097;attr_2154;attr_1833;attr_1619;attr_1242;attr_4262;attr_3210;attr_891;attr_2738;attr_3543;attr_3475;attr_540;attr_2405;attr_643;attr_2116;attr_1979;attr_1771;attr_3482;attr_1283;attr_336;attr_526;attr_1812;attr_2494;attr_4175;attr_530;attr_628;attr_3171;attr_443;attr_3019;attr_4759;attr_901;attr_4158;attr_3956;attr_731;attr_4684;attr_2974;attr_189;attr_1903;attr_3796;attr_485;attr_806;attr_2901;attr_1933;attr_3612;attr_3878;attr_1188;attr_1874;attr_4114;attr_4536;attr_1474;attr_502;attr_2881;attr_130;attr_1506;attr_2928;attr_3351;attr_4775;attr_2388;attr_827;attr_563;attr_2963;attr_3206;attr_124;attr_1486;attr_3940;attr_937;attr_2256;attr_3498;attr_3174;attr_2836;attr_1539;attr_2895;attr_3018;attr_67;attr_3736;attr_4493;attr_2633;attr_1709;attr_236;attr_1924;attr_2463;attr_2379;attr_102;attr_1364;attr_1512;attr_1606;attr_4244;attr_70;attr_1378;attr_2872;attr_2165;attr_626;attr_3771;attr_3483;attr_3535;attr_4184;attr_601;attr_3801;attr_4384;attr_1708;attr_4523;attr_2787;attr_1789;attr_879;attr_277;attr_2741;attr_785;attr_2057;attr_4629;attr_2658;attr_144;attr_4488;attr_337;attr_4323;attr_2486;attr_4822;attr_2153;attr_3542;attr_2445;attr_3270;attr_250;attr_1309;attr_2273;attr_158;attr_1374;attr_345;attr_267;attr_4590;attr_1598;attr_4387;attr_1699;attr_2015;attr_3297;attr_3195;attr_1292;attr_649;attr_347;attr_1612;attr_819;attr_2107;attr_3867;attr_2755;attr_4152;attr_2991;name;attr_340;attr_761;attr_1569;attr_4213;attr_2519;attr_4592;attr_481;attr_3643;attr_2048;attr_4805;attr_1218;attr_1056;attr_4072;attr_373;attr_4597;attr_1384;attr_4476;attr_3807;attr_2948;attr_929;attr_1826;attr_3295;attr_3491;attr_3488;attr_698;attr_3744;attr_303;attr_4344;attr_1462;attr_4930;attr_30;attr_4475;attr_230;attr_3379;attr_2607;attr_822;attr_140;attr_915;attr_1503;attr_1697;attr_3430;attr_2797;attr_4764;attr_2132;attr_4093;attr_2221;attr_246;attr_367;attr_4990;attr_1852;attr_40;attr_762;attr_2196;attr_1405;attr_62;attr_720;attr_1737;attr_605;attr_3038;attr_4842;attr_3747;attr_1162;attr_1171;attr_2487;attr_4543;attr_4074;attr_1674;attr_4697;attr_2130;attr_2022;attr_4861
variant_group_10;attr_3388,attr_3769,attr_1578;VARIANT;suscipit;quisquam;iure;quia;sequi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"eos dolor molestiae";;;;;;;;"facere commodi iure";"ipsam rerum quia";"et qui autem";"minima in labore";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_11;attr_529,attr_132,attr_4878;VARIANT;laudantium;rem;quaerat;et;ea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"ipsa sapiente unde";"molestiae id architecto";"aliquid voluptas quo";"sint sapiente consectetur";"qui quaerat occaecati";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_12;attr_1187,attr_4331,attr_971;VARIANT;accusamus;voluptate;nulla;sapiente;voluptas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"nihil omnis aliquam";;"fugiat sed quisquam";"reprehenderit esse sunt";"officia non magni";"neque ut voluptatem";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_13;attr_2950,attr_3630,attr_1608;VARIANT;autem;sapiente;sunt;sunt;molestiae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"qui est quis";"voluptas exercitationem ad";"est aut tempora";"distinctio aspernatur non";"consequatur repudiandae placeat";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_14;attr_256,attr_2869,attr_239;VARIANT;qui;et;iste;recusandae;non;;;;;;;;;;;"qui iste error";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"error veritatis dolore";"sint eius sequi";"voluptatibus harum esse";"corporis ut et";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_15;attr_2191,attr_3884,attr_991;VARIANT;aliquam;et;ut;numquam;eos;;;"temporibus tempore vel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"est numquam dicta";"sit voluptatem exercitationem";"dolores voluptate sit";"eum esse inventore";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_16;attr_4518,attr_3685,attr_4878;VARIANT;dolor;reprehenderit;occaecati;non;velit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"id sapiente mollitia";;;;;;;;;;;;;;;;;"et aperiam voluptatem";;;;;;;;;;;;;;;;;;;;;;;;;;"iste sunt sed";"unde voluptates quos";"unde beatae in";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_17;attr_2316,attr_1030,attr_4778;VARIANT;quis;incidunt;id;ut;eos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"neque aut amet";;;"ut quibusdam vel";;;"tempora tenetur libero";;;;;;"vel hic saepe";"qui voluptas sit";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_18;attr_44,attr_3471,attr_3859;VARIANT;dolore;et;labore;quos;autem;;;;;;;;;;;;;;"nobis voluptas nisi";;;;;"qui et deleniti";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"itaque qui enim";"et animi voluptatem";"autem quidem corporis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_19;attr_4518,attr_1608,attr_716;VARIANT;officia;consequuntur;consequatur;sit;ea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"consequatur ipsum veniam";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"non est animi";"maiores autem dolorum";"non ut voluptas";"nemo ut odit";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_20;attr_1815,attr_1836,attr_2659;VARIANT;harum;temporibus;necessitatibus;doloremque;expedita;;;;;;;;;;;;;;;;"ab eaque aut";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"sit deleniti esse";;;;;;;;;;;;;;;;;;;;;;;;;;"molestiae perspiciatis magni";"quis asperiores enim";"optio sunt quaerat";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_21;attr_360,attr_3622,attr_418;VARIANT;reiciendis;qui;doloremque;repellat;inventore;;;;;;;;;;;;;;;;;;;;;;;;"eum veniam ad";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"est aut nulla";"soluta rerum aut";"non totam excepturi";"in modi repudiandae";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_22;attr_4425,attr_3394,attr_1613;VARIANT;dignissimos;iure;necessitatibus;quibusdam;sed;;;;;;;;"ab voluptatem soluta";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"libero quis consequatur";"est et sit";"dolore officiis aut";"ipsum magni mollitia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_23;attr_484,attr_112,attr_4701;VARIANT;accusantium;animi;cumque;qui;occaecati;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"sed culpa dolorum";;;;;;;;;;;;;;;;;;;;;;"sed odio aut";;;;;;;;;;;;;;;;;;;;;;;;"doloremque molestiae cumque";"necessitatibus rem eos";"culpa aut non";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_24;attr_484,attr_3125,attr_1355;VARIANT;voluptas;asperiores;corrupti;laborum;debitis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"harum corporis vitae";;;"cupiditate facere ut";"voluptatibus quibusdam et";"qui rerum aut";"quo qui quae";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_25;attr_1104,attr_308,attr_1417;VARIANT;veritatis;et;voluptate;sunt;aut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"dicta voluptas voluptatem";;;;"distinctio sint voluptatem";"neque ad blanditiis";"deleniti sunt qui";"reiciendis earum qui";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_26;attr_4096,attr_4763,attr_1226;VARIANT;qui;maiores;ut;et;et;;;;;;;;;;"magni voluptatibus deserunt";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"perspiciatis est cupiditate";;;;;;;;;"rerum voluptatem quo";"possimus quos possimus";"unde occaecati quod";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
