code;type;group;label-en_US;localizable;scopable;metric_family;default_metric_unit;allowed_extensions
attr_53;pim_catalog_multiselect;attr_gr_1;"Ut quasi quo.";0;0;;;
attr_54;pim_catalog_simpleselect;attr_gr_0;"In mollitia.";0;0;;;
attr_55;pim_catalog_simpleselect;attr_gr_7;"Illo autem.";0;0;;;
attr_56;pim_catalog_metric;attr_gr_7;"Debitis qui ab.";1;0;Length;METER;
attr_57;pim_catalog_multiselect;attr_gr_4;"A amet quisquam.";0;0;;;
attr_58;pim_catalog_simpleselect;attr_gr_3;"Est sit.";0;0;;;
attr_59;pim_catalog_file;attr_gr_4;"Neque rerum beatae.";1;0;;;pdf,jpg
attr_60;pim_catalog_multiselect;attr_gr_5;"Aut magni.";0;0;;;
attr_61;pim_catalog_boolean;attr_gr_0;"Ea iste et.";0;0;;;
attr_62;pim_catalog_file;attr_gr_5;"Asperiores et.";0;0;;;pdf,jpg
attr_63;pim_catalog_multiselect;attr_gr_7;"Sit totam nisi.";0;0;;;
attr_64;pim_catalog_metric;attr_gr_6;"Reiciendis tempora quas.";0;0;Length;METER;
attr_65;pim_catalog_boolean;attr_gr_1;"Exercitationem incidunt sed.";0;0;;;
attr_66;pim_catalog_image;attr_gr_6;"Minus reiciendis.";0;0;;;pdf,jpg
attr_67;pim_catalog_text;attr_gr_4;"Consequatur voluptatum.";0;0;;;
attr_68;pim_catalog_textarea;attr_gr_4;"Non sed aliquid.";0;0;;;
attr_69;pim_catalog_number;attr_gr_5;"Qui voluptatem.";0;0;;;
attr_70;pim_catalog_price_collection;attr_gr_7;"Illo est animi.";0;0;;;
attr_71;pim_catalog_boolean;attr_gr_4;"Minus explicabo.";0;0;;;
attr_72;pim_catalog_textarea;attr_gr_3;"Porro omnis.";0;0;;;
attr_73;pim_catalog_boolean;attr_gr_2;"Dignissimos maiores est.";0;0;;;
attr_74;pim_catalog_file;attr_gr_2;"Dignissimos quod.";0;0;;;png,jpg
attr_75;pim_catalog_image;attr_gr_4;"Rem voluptatem laudantium.";0;0;;;pdf,jpg
attr_76;pim_catalog_file;attr_gr_5;"Ut non illum.";0;0;;;pdf,png
attr_77;pim_catalog_boolean;attr_gr_0;"Rem deleniti qui.";0;0;;;
attr_78;pim_catalog_file;attr_gr_3;"Inventore est.";0;0;;;pdf,jpg
attr_79;pim_catalog_date;attr_gr_0;"Vel voluptates.";0;0;;;
attr_80;pim_catalog_number;attr_gr_2;"Consequatur quidem.";0;0;;;
attr_81;pim_catalog_file;attr_gr_4;"Id maxime alias.";0;0;;;jpg,png
attr_82;pim_catalog_simpleselect;attr_gr_0;"Distinctio temporibus.";0;0;;;
attr_83;pim_catalog_file;attr_gr_6;"Qui non dolorem.";1;1;;;png,jpg
attr_84;pim_catalog_file;attr_gr_2;"Eligendi voluptas.";0;0;;;pdf,jpg
attr_85;pim_catalog_simpleselect;attr_gr_4;"In ut.";0;0;;;
attr_86;pim_catalog_boolean;attr_gr_2;"Eligendi ea dolor.";0;0;;;
attr_87;pim_catalog_metric;attr_gr_7;"Cupiditate impedit.";0;0;Length;METER;
attr_88;pim_catalog_boolean;attr_gr_3;"Quod voluptate a.";0;0;;;
attr_89;pim_catalog_textarea;attr_gr_0;"Quia et.";0;0;;;
attr_90;pim_catalog_text;attr_gr_3;"Rerum dolorem.";0;0;;;
attr_91;pim_catalog_price_collection;attr_gr_0;"Esse consequuntur nemo.";1;0;;;
attr_92;pim_catalog_date;attr_gr_0;"Expedita aut praesentium.";1;0;;;
attr_93;pim_catalog_boolean;attr_gr_6;"Maxime quidem ut.";0;0;;;
attr_94;pim_catalog_multiselect;attr_gr_7;"Qui sunt et.";0;0;;;
attr_95;pim_catalog_metric;attr_gr_5;"Est reiciendis.";0;0;Length;METER;
attr_96;pim_catalog_price_collection;attr_gr_7;"Ipsum ut numquam.";0;0;;;
attr_97;pim_catalog_textarea;attr_gr_5;"Ut velit et.";0;0;;;
attr_98;pim_catalog_textarea;attr_gr_6;"Deleniti sed est.";0;0;;;
attr_99;pim_catalog_image;attr_gr_4;"Nostrum aspernatur.";0;1;;;pdf,jpg
