code;axis;type;label-fr_FR;label-en_US;attr_183;attr_831;attr_222;attr_298;attr_825;attr_238;attr_259;attr_794;attr_592;attr_784;attr_966;attr_332;attr_0;attr_847;attr_392;attr_411;attr_228;attr_880;attr_374;attr_597;name;attr_163;attr_99;attr_330;attr_865;attr_320;attr_905;attr_836;attr_311;attr_819;attr_383;attr_3;attr_700;attr_668;attr_444;attr_682;attr_529;attr_996;attr_142;attr_601;attr_851;attr_887;attr_292;attr_340;attr_608;attr_779;attr_58;attr_29;attr_632;attr_478;attr_317;attr_720;attr_513;attr_609;attr_757;attr_161;attr_594;attr_177;attr_425;attr_391;attr_66;attr_837;attr_352;attr_673;attr_925;attr_807;attr_234;attr_331;attr_22;attr_634;attr_726;attr_943;attr_589;attr_770;attr_620;attr_318;attr_766;attr_868;attr_61;attr_89;attr_375
variant_group_54;attr_315,attr_208,attr_334;VARIANT;et;molestiae;;;;;;;;;;;;;;;;;;;"minus et modi";;;;;;"placeat dicta architecto";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"recusandae atque maxime";;;"ullam qui quidem";;;;;;;;;;;;;;;;;;"velit eligendi deleniti";;;
variant_group_55;attr_87,attr_971,attr_786;VARIANT;aut;est;;;;;;"recusandae numquam error";;;;;;;;;;;;;;;;"delectus ut quas";;;;;;;;;;;;;;;;;;;;;;;;;;;"dolorem sit fugiat";;;;;;;;;;;"maiores fuga dignissimos";;;;;;;;;;;;;;;;;;;"sunt quo totam";;
variant_group_56;attr_95,attr_394,attr_533;VARIANT;repellendus;nam;"quos qui error";;;;;;;;;;;;;;;;"necessitatibus cupiditate ut";;;;;;;;;;"aut quia officia";;;;;;;;;;;;;;;;;"atque eum voluptas";;;;;;;;;;"quia dolorem eius";;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_57;attr_370,attr_932,attr_685;VARIANT;aut;aliquid;;;;;;;;;;;;;;;;;;;;;"voluptas ut blanditiis";;;;;;"dolores autem explicabo";;;;;;;;"itaque repellendus qui";;;;;;;;;;"dolores voluptas harum";;;"voluptatem eius ut";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_58;attr_612,attr_417,attr_769;VARIANT;voluptas;saepe;;;;;;;;"dolores consectetur dolor";;;;;;;;;;;;;;;;;;;;;;"quia aut placeat";;;;;;;;;;;;;;;;;;;;;;"excepturi et ex";;;;"quos explicabo vitae";;;;;;;;;;;;;;;;;;;;;;"et fuga sit";;;
variant_group_59;attr_581,attr_685,attr_170;VARIANT;autem;suscipit;;;;;;;;;;;;;;;;;;;;;;;;"voluptas nostrum inventore";;"rerum itaque aut";;;;;;;;;;;;;;;"rerum voluptate ex";;;;;;;;;;;;;;;;;;;;"est deleniti voluptate";;;"temporibus quaerat aperiam";;;;;;;;;;;;;;;;;
variant_group_60;attr_181,attr_938,attr_65;VARIANT;eveniet;corrupti;;;;"earum consequuntur id";;;;;;;;;;;"enim voluptatum dolorem";;;;;"qui quidem ipsum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"nam et dolores";;;;;;;;;;;;;;;;;;;"ipsa iusto officia";;;;;;;;;
variant_group_61;attr_417,attr_981,attr_460;VARIANT;asperiores;quia;;;;;;;"eum ipsam aut";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"voluptatibus magnam consequatur";;;;;;;"unde recusandae est";"reiciendis perspiciatis pariatur";;;;;"fugiat omnis aspernatur";;;;;;;;;;;;;;;;;;;;;;;
variant_group_62;attr_657,attr_208,attr_526;VARIANT;libero;quos;;;;;;;;;;;;;;"rerum ipsam fuga";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"atque eveniet quam";;;"est sit nam";;;;;"occaecati ut molestiae";;;;;;;;;;;;;;;;;"ullam sunt ut";;;;;;;
variant_group_63;attr_52,attr_564,attr_181;VARIANT;numquam;ea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"culpa animi quis";;;;;;;;;;;;;;;;;;;;;;;;;;;"esse incidunt sint";;"beatae rem ducimus";;;;;;;;;;;;;;;;"est nihil sequi";;;"laborum ad voluptatem";;
variant_group_64;attr_431,attr_95,attr_394;VARIANT;aspernatur;exercitationem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"atque velit qui";;;;;;;"quia natus a";;;;;;;;;;;;;;;;;;;;;;;;;"sit et quae";;;"rem aperiam dignissimos";;;;"dolorum distinctio fugit";
variant_group_65;attr_52,attr_315,attr_506;VARIANT;est;voluptatem;;;;;;;"illo enim qui";;;;;;;"sit harum voluptate";;;;;;;;;;;;;"est impedit adipisci";;;;;;;;;;;;;;;"inventore nulla tempore";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"quam error ratione";;
variant_group_66;attr_255,attr_8,attr_963;VARIANT;maxime;culpa;;;;;;;;;;;;;;;;;;;;;;;;;"dignissimos quam esse";;;;;;;;;;"autem deserunt eligendi";;;;;;;;;;;;;;;;;;;;;;"neque expedita autem";"alias eum sint";;;;;"aperiam sapiente quas";;;;;;;;;;;;;;;;;;
variant_group_67;attr_87,attr_140,attr_938;VARIANT;quos;tenetur;;;;;;;;;;;;;;;;"fuga non accusamus";;;;;;"modi earum velit";;;;;;"ea omnis fugiat";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"tempore distinctio aut";;;;;;;;;;;;;;;;;;;;;;"necessitatibus eaque aut"
variant_group_68;attr_582,attr_971,attr_674;VARIANT;velit;voluptatum;;;;;;;;;;;;;;;;"quia aspernatur distinctio";;;;;;;;;;;;;;;;;"dicta aut aut";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"delectus voluptas tenetur";;;;;;;"harum ut hic";"omnis totam quia";;;;;;;;;
variant_group_69;attr_642,attr_334,attr_650;VARIANT;ut;nihil;;;;;;;;;;;;;"ut dolorem ut";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"autem aut error";;;;"repellendus qui ipsum";;;;;;;;"laudantium quod doloribus";;;;;"qui vel illum";;;;;
variant_group_70;attr_54,attr_431,attr_246;VARIANT;est;dolore;"consequatur nemo ut";;;;;;"odit temporibus est";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"tempore ut dicta";;;;;;;;;;;;;;;;"sed commodi consequatur";;;;;;;;;;;;;;;;;;;"quo voluptatem non";
variant_group_71;attr_274,attr_981,attr_570;VARIANT;quia;nemo;;;;;;;;;"minima nam libero";;;;;;;;;;"debitis voluptas pariatur";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"perspiciatis et ut";;;;"molestiae non non";;;;;;;;;"voluptatibus et hic";;;;;;;;;;;;;;;;;;
variant_group_72;attr_674,attr_612,attr_932;VARIANT;culpa;ratione;;;"doloribus aliquam magni";;;;;;;"nihil non voluptas";;;;;;;;;"earum dolores aut";;;;;;;;;;;;;;;;;;"ducimus occaecati praesentium";;;;;;;;;;;;;;;;;;;;;;;;;;;;"est ab quo";;;;;;;;;;;;;;;;
variant_group_73;attr_131,attr_209,attr_533;VARIANT;nulla;temporibus;"suscipit dolores aut";;;;"dolorem dolor vel";;;;;;;;;;;;;;;;;;;;;;;;;;"magnam nobis est";;;;;;;;;;;;;;;;;;;;;"doloribus odit recusandae";;;;;;;;;;;;;;;"enim deserunt maiores";;;;;;;;;;;;;;
variant_group_74;attr_394,attr_591,attr_769;VARIANT;culpa;quasi;;;;"nam voluptas eos";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"eligendi eos nostrum";"voluptates similique beatae";"explicabo dolore occaecati";;"fugiat autem quo";;;;;;;;;;;;;;;;;;;;;;;;;;;
variant_group_75;attr_734,attr_642,attr_296;VARIANT;odio;est;;;"velit illum nulla";;;;;;;;;;;;;;;;;;;;;;;;;;;"porro qui dolorum";;;;;;;;;;;;;;;;;;;;"fugit nobis numquam";;;;"molestiae nihil excepturi";;;;;;;;;;;;;;;;;;;"quis perspiciatis voluptatum";;;;;;;;
variant_group_76;attr_773,attr_93,attr_749;VARIANT;est;occaecati;;;;;;;;;;;;"aspernatur repudiandae quod";;;;;;;;;;;;;;;;"dolorem molestias sit";;;;;;;;;;;;;"ipsum pariatur enim";;;;;;;;"nemo qui at";;;;;;;;;;;;;;;;;;;;;;;;;"sunt dolores neque";;;;;;;
variant_group_77;attr_694,attr_551,attr_583;VARIANT;architecto;animi;;;;;;;;;;;;;;;;;;;;;;;;;;;"deleniti atque iusto";;"aut consequatur esse";;;;;;;;;;;;;;;;;;;;"voluptatum commodi eos";;;;;;;;;;;;;;;;;"id cum est";;;;;;;;;"illo quis est";;;;;;
variant_group_78;attr_581,attr_860,attr_992;VARIANT;quia;delectus;;;;"eum consequuntur enim";;;;;;;;;;;;;;;;;"et facilis a";;;;;;;;;;;;;"molestiae asperiores perspiciatis";"iusto saepe quis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"corrupti velit ex";;;;;;;;;;;;;;;
