code;label-fr_FR;label-en_US;attribute_as_label;attributes;requirements-ecommerce;requirements-print
fam_10;"Consequatur architecto ut.";"Adipisci aut necessitatibus.";name;sku,name,attr_459,attr_329,attr_897,attr_324,attr_436,attr_863,attr_116,attr_7,attr_334,attr_134,attr_851,attr_550,attr_755,attr_621,attr_557,attr_962,attr_583,attr_670,attr_164,attr_823,attr_398,attr_224,attr_151,attr_767,attr_299,attr_997,attr_719,attr_266,attr_22,attr_247,attr_910,attr_70,attr_345,attr_868,attr_974,attr_19,attr_639,attr_193,attr_141,attr_529,attr_895,attr_355,attr_273,attr_562,attr_9,attr_588,attr_534,attr_200,attr_784,attr_764,attr_930,attr_993,attr_546,attr_860,attr_981,attr_445,attr_867,attr_197,attr_6,attr_186,attr_233,attr_123,attr_25,attr_101,attr_874,attr_210,attr_251,attr_257,attr_932,attr_754,attr_63,attr_899,attr_725,attr_298,attr_928,attr_246,attr_194,attr_608,attr_830,attr_44,attr_441,attr_255,attr_226,attr_902,attr_87,attr_27,attr_552,attr_934,attr_679,attr_425,attr_196,attr_229,attr_872,attr_938,attr_781,attr_77,attr_975,attr_826,attr_656;sku,attr_764,attr_459,attr_868,attr_934;sku,attr_910,attr_459,attr_784,attr_670
fam_11;"Omnis voluptatem.";"Ex laboriosam possimus.";name;sku,name,attr_850,attr_770,attr_986,attr_244,attr_758,attr_134,attr_179,attr_958,attr_687,attr_65,attr_712,attr_278,attr_9,attr_318,attr_63,attr_192,attr_733,attr_112,attr_936,attr_505,attr_402,attr_438,attr_506,attr_564,attr_940,attr_747,attr_116,attr_991,attr_875,attr_264,attr_199,attr_283,attr_870,attr_57,attr_738,attr_863,attr_344,attr_107,attr_79,attr_857,attr_342,attr_914,attr_645,attr_416,attr_20,attr_356,attr_307,attr_252,attr_484,attr_926,attr_297,attr_162,attr_216,attr_153,attr_16,attr_135,attr_304,attr_176,attr_471,attr_218,attr_240,attr_155,attr_921,attr_184,attr_730,attr_711,attr_845,attr_521,attr_19,attr_64,attr_418,attr_824,attr_998,attr_933,attr_275,attr_602,attr_265,attr_665,attr_114,attr_248,attr_731,attr_363,attr_198,attr_125,attr_328,attr_238,attr_537,attr_338,attr_905,attr_803,attr_336,attr_137,attr_294,attr_77,attr_395,attr_461,attr_873,attr_15,attr_582;sku,attr_294,attr_114,attr_730,attr_218;sku,attr_665,attr_137,attr_184,attr_926
fam_12;"Quidem illo qui.";"Harum quam.";name;sku,name,attr_56,attr_337,attr_54,attr_793,attr_646,attr_962,attr_991,attr_926,attr_844,attr_589,attr_497,attr_145,attr_20,attr_826,attr_488,attr_410,attr_978,attr_454,attr_908,attr_8,attr_601,attr_175,attr_631,attr_297,attr_12,attr_200,attr_686,attr_302,attr_673,attr_996,attr_95,attr_61,attr_567,attr_216,attr_679,attr_387,attr_195,attr_754,attr_83,attr_925,attr_333,attr_585,attr_201,attr_404,attr_92,attr_553,attr_169,attr_127,attr_682,attr_266,attr_475,attr_919,attr_838,attr_792,attr_936,attr_888,attr_210,attr_411,attr_364,attr_124,attr_946,attr_151,attr_237,attr_797,attr_290,attr_851,attr_552,attr_824,attr_356,attr_937,attr_233,attr_935,attr_203,attr_247,attr_255,attr_39,attr_25,attr_700,attr_369,attr_533,attr_550,attr_143,attr_202,attr_136,attr_165,attr_308,attr_974,attr_953,attr_485,attr_472,attr_736,attr_623,attr_36,attr_681,attr_549,attr_269,attr_109,attr_63,attr_893;sku,attr_996,name,attr_302,sku;sku,attr_567,attr_200,attr_61,attr_92
fam_13;"Tenetur quae.";"Eaque non repudiandae.";name;sku,name,attr_259,attr_325,attr_467,attr_635,attr_855,attr_181,attr_170,attr_71,attr_525,attr_375,attr_475,attr_517,attr_904,attr_373,attr_663,attr_908,attr_880,attr_2,attr_333,attr_82,attr_226,attr_62,attr_298,attr_625,attr_132,attr_25,attr_341,attr_617,attr_960,attr_488,attr_346,attr_830,attr_339,attr_627,attr_731,attr_739,attr_766,attr_566,attr_770,attr_549,attr_641,attr_112,attr_302,attr_465,attr_889,attr_595,attr_429,attr_791,attr_537,attr_531,attr_628,attr_332,attr_689,attr_61,attr_430,attr_216,attr_255,attr_185,attr_40,attr_703,attr_571,attr_120,attr_548,attr_593,attr_574,attr_965,attr_246,attr_9,attr_420,attr_524,attr_227,attr_511,attr_724,attr_530,attr_172,attr_980,attr_154,attr_792,attr_657,attr_183,attr_554,attr_611,attr_584,attr_532,attr_211,attr_11,attr_886,attr_400,attr_417,attr_94,attr_824,attr_27,attr_862,attr_449,attr_337,attr_96,attr_812,attr_263,attr_431;sku,attr_339,attr_400,attr_373,attr_627;sku,attr_2,attr_595,attr_211,attr_574
fam_14;"Culpa delectus.";"Nobis odit facilis.";name;sku,name,attr_165,attr_256,attr_765,attr_741,attr_435,attr_663,attr_543,attr_356,attr_793,attr_315,attr_613,attr_629,attr_659,attr_738,attr_338,attr_590,attr_332,attr_634,attr_323,attr_695,attr_648,attr_92,attr_43,attr_408,attr_42,attr_829,attr_156,attr_863,attr_109,attr_415,attr_24,attr_943,attr_593,attr_203,attr_430,attr_336,attr_767,attr_675,attr_441,attr_824,attr_575,attr_53,attr_413,attr_477,attr_352,attr_587,attr_393,attr_750,attr_780,attr_857,attr_779,attr_520,attr_345,attr_243,attr_130,attr_740,attr_348,attr_362,attr_884,attr_354,attr_583,attr_178,attr_609,attr_166,attr_54,attr_815,attr_834,attr_269,attr_455,attr_672,attr_747,attr_284,attr_426,attr_412,attr_64,attr_423,attr_13,attr_714,attr_264,attr_842,attr_70,attr_923,attr_208,attr_247,attr_195,attr_106,attr_279,attr_550,attr_503,attr_652,attr_486,attr_594,attr_146,attr_818,attr_97,attr_483,attr_232,attr_258,attr_919;sku,attr_652,attr_857,attr_315,attr_146;sku,attr_232,attr_13,attr_675,attr_195
fam_15;"Ad similique ut.";"Sed optio dolores.";name;sku,name,attr_957,attr_670,attr_279,attr_458,attr_618,attr_486,attr_970,attr_982,attr_637,attr_278,attr_369,attr_290,attr_92,attr_712,attr_476,attr_243,attr_489,attr_226,attr_119,attr_97,attr_866,attr_598,attr_403,attr_836,attr_68,attr_564,attr_205,attr_650,attr_538,attr_142,attr_503,attr_643,attr_826,attr_511,attr_75,attr_927,attr_772,attr_371,attr_837,attr_906,attr_42,attr_520,attr_20,attr_44,attr_413,attr_206,attr_585,attr_309,attr_727,attr_753,attr_892,attr_873,attr_428,attr_766,attr_607,attr_417,attr_11,attr_383,attr_74,attr_651,attr_156,attr_321,attr_39,attr_524,attr_448,attr_544,attr_743,attr_951,attr_139,attr_127,attr_482,attr_257,attr_890,attr_115,attr_162,attr_498,attr_307,attr_819,attr_154,attr_208,attr_67,attr_461,attr_991,attr_525,attr_301,attr_735,attr_8,attr_639,attr_437,attr_993,attr_69,attr_239,attr_604,attr_193,attr_738,attr_79,attr_938,attr_502,attr_377;sku,attr_598,attr_938,attr_837,attr_525;sku,attr_417,attr_538,attr_482,attr_208
fam_16;"Ea sequi voluptatem.";"Quidem non eos.";name;sku,name,attr_814,attr_830,attr_678,attr_222,attr_812,attr_717,attr_599,attr_432,attr_853,attr_965,attr_142,attr_106,attr_383,attr_551,attr_474,attr_404,attr_521,attr_910,attr_504,attr_968,attr_405,attr_827,attr_919,attr_922,attr_131,attr_300,attr_148,attr_197,attr_342,attr_954,attr_550,attr_959,attr_775,attr_806,attr_934,attr_753,attr_39,attr_79,attr_810,attr_811,attr_715,attr_33,attr_688,attr_728,attr_465,attr_370,attr_589,attr_304,attr_22,attr_433,attr_708,attr_418,attr_46,attr_333,attr_630,attr_155,attr_887,attr_998,attr_876,attr_355,attr_223,attr_461,attr_546,attr_917,attr_822,attr_871,attr_65,attr_991,attr_243,attr_693,attr_241,attr_305,attr_608,attr_963,attr_673,attr_237,attr_402,attr_133,attr_286,attr_233,attr_956,attr_32,attr_207,attr_6,attr_324,attr_505,attr_455,attr_75,attr_431,attr_54,attr_532,attr_318,attr_125,attr_602,attr_780,attr_81,attr_813,attr_436,attr_982;sku,attr_305,sku,attr_125,attr_39;sku,attr_775,attr_383,attr_806,attr_355
fam_17;"Non porro.";"Omnis aspernatur.";name;sku,name,attr_648,attr_64,attr_253,attr_875,attr_869,attr_562,attr_381,attr_46,attr_91,attr_176,attr_390,attr_163,attr_838,attr_917,attr_849,attr_685,attr_299,attr_287,attr_60,attr_783,attr_915,attr_596,attr_912,attr_734,attr_942,attr_372,attr_141,attr_115,attr_444,attr_592,attr_271,attr_961,attr_901,attr_210,attr_834,attr_453,attr_78,attr_151,attr_18,attr_983,attr_802,attr_968,attr_814,attr_877,attr_560,attr_350,attr_657,attr_142,attr_911,attr_243,attr_150,attr_367,attr_107,attr_581,attr_585,attr_667,attr_272,attr_640,attr_385,attr_495,attr_540,attr_962,attr_500,attr_512,attr_263,attr_721,attr_32,attr_341,attr_650,attr_576,attr_125,attr_841,attr_75,attr_323,attr_114,attr_546,attr_462,attr_279,attr_331,attr_24,attr_110,attr_190,attr_979,attr_860,attr_327,attr_633,attr_909,attr_733,attr_603,attr_292,attr_552,attr_959,attr_59,attr_291,attr_5,attr_464,attr_974,attr_584,attr_925;sku,attr_512,attr_323,attr_125,attr_841;sku,name,attr_814,attr_909,attr_734
fam_18;"Consequatur illum consequuntur.";"Est et suscipit.";name;sku,name,attr_818,attr_92,attr_572,attr_954,attr_769,attr_49,attr_698,attr_635,attr_597,attr_371,attr_780,attr_257,attr_407,attr_627,attr_555,attr_181,attr_829,attr_269,attr_258,attr_312,attr_160,attr_262,attr_724,attr_583,attr_838,attr_353,attr_299,attr_867,attr_716,attr_183,attr_221,attr_626,attr_695,attr_639,attr_789,attr_658,attr_994,attr_44,attr_607,attr_960,attr_875,attr_613,attr_535,attr_781,attr_41,attr_60,attr_362,attr_561,attr_412,attr_874,attr_872,attr_952,attr_843,attr_111,attr_87,attr_278,attr_887,attr_355,attr_706,attr_556,attr_116,attr_212,attr_758,attr_128,attr_925,attr_20,attr_341,attr_302,attr_636,attr_596,attr_979,attr_83,attr_847,attr_182,attr_500,attr_564,attr_529,attr_105,attr_975,attr_476,attr_987,attr_836,attr_151,attr_229,attr_569,attr_751,attr_972,attr_800,attr_163,attr_804,attr_57,attr_609,attr_527,attr_526,attr_880,attr_620,attr_917,attr_88,attr_932;sku,attr_564,attr_302,attr_847,attr_597;sku,attr_412,attr_843,attr_597,attr_302
fam_19;"Officia aut in.";"Enim recusandae.";name;sku,name,attr_698,attr_364,attr_994,attr_701,attr_201,attr_595,attr_559,attr_760,attr_455,attr_363,attr_247,attr_407,attr_747,attr_655,attr_971,attr_196,attr_222,attr_903,attr_479,attr_141,attr_851,attr_587,attr_116,attr_632,attr_318,attr_460,attr_881,attr_185,attr_527,attr_160,attr_64,attr_811,attr_886,attr_472,attr_127,attr_308,attr_334,attr_958,attr_468,attr_427,attr_611,attr_709,attr_997,attr_641,attr_210,attr_444,attr_143,attr_63,attr_170,attr_481,attr_34,attr_744,attr_393,attr_717,attr_988,attr_679,attr_333,attr_480,attr_42,attr_159,attr_730,attr_314,attr_892,attr_142,attr_528,attr_326,attr_828,attr_601,attr_834,attr_257,attr_996,attr_537,attr_976,attr_979,attr_182,attr_548,attr_305,attr_687,attr_569,attr_619,attr_16,attr_470,attr_168,attr_388,attr_674,attr_959,attr_795,attr_776,attr_131,attr_600,attr_204,attr_154,attr_995,attr_189,attr_859,attr_756,attr_550,attr_346,attr_911;sku,attr_427,attr_34,attr_64,attr_760;sku,attr_333,attr_828,attr_34,attr_903
fam_20;"Veniam et.";"Aut et.";name;sku,name,attr_392,attr_297,attr_882,attr_1,attr_397,attr_316,attr_169,attr_563,attr_486,attr_274,attr_253,attr_608,attr_247,attr_830,attr_32,attr_365,attr_708,attr_966,attr_19,attr_325,attr_448,attr_686,attr_382,attr_483,attr_28,attr_546,attr_808,attr_520,attr_648,attr_155,attr_815,attr_344,attr_803,attr_912,attr_358,attr_234,attr_979,attr_974,attr_841,attr_586,attr_244,attr_845,attr_560,attr_294,attr_470,attr_22,attr_242,attr_312,attr_49,attr_85,attr_275,attr_203,attr_447,attr_466,attr_162,attr_885,attr_718,attr_720,attr_310,attr_810,attr_346,attr_640,attr_685,attr_716,attr_8,attr_152,attr_475,attr_21,attr_614,attr_661,attr_352,attr_730,attr_15,attr_652,attr_401,attr_131,attr_645,attr_18,attr_268,attr_843,attr_644,attr_487,attr_621,attr_542,attr_513,attr_446,attr_913,attr_279,attr_951,attr_377,attr_142,attr_455,attr_692,attr_481,attr_493,attr_530,attr_411,attr_823,attr_816;sku,attr_325,attr_397,attr_297,attr_234;sku,attr_493,attr_244,attr_560,attr_685
fam_21;"Ut est.";"Distinctio et quo.";name;sku,name,attr_174,attr_307,attr_341,attr_573,attr_16,attr_487,attr_155,attr_843,attr_502,attr_527,attr_990,attr_424,attr_635,attr_936,attr_465,attr_894,attr_834,attr_394,attr_20,attr_206,attr_909,attr_96,attr_262,attr_259,attr_916,attr_669,attr_673,attr_221,attr_706,attr_663,attr_435,attr_223,attr_61,attr_917,attr_800,attr_709,attr_653,attr_787,attr_561,attr_997,attr_623,attr_329,attr_944,attr_14,attr_601,attr_442,attr_392,attr_770,attr_482,attr_69,attr_119,attr_678,attr_266,attr_114,attr_610,attr_238,attr_62,attr_165,attr_35,attr_291,attr_368,attr_788,attr_958,attr_15,attr_859,attr_161,attr_415,attr_734,attr_740,attr_204,attr_317,attr_576,attr_184,attr_9,attr_940,attr_779,attr_339,attr_43,attr_901,attr_884,attr_790,attr_806,attr_741,attr_872,attr_794,attr_358,attr_881,attr_811,attr_915,attr_602,attr_938,attr_964,attr_511,attr_978,attr_381,attr_659,attr_106,attr_471,attr_416;sku,attr_502,attr_61,attr_161,attr_174;sku,attr_341,attr_881,name,attr_20
fam_22;"Et ab.";"Et iure praesentium.";name;sku,name,attr_226,attr_346,attr_950,attr_478,attr_909,attr_718,attr_502,attr_222,attr_318,attr_377,attr_777,attr_441,attr_472,attr_413,attr_2,attr_553,attr_22,attr_454,attr_292,attr_963,attr_208,attr_613,attr_527,attr_500,attr_584,attr_110,attr_41,attr_323,attr_637,attr_218,attr_339,attr_697,attr_748,attr_559,attr_546,attr_876,attr_621,attr_582,attr_898,attr_766,attr_343,attr_14,attr_993,attr_388,attr_938,attr_928,attr_100,attr_597,attr_274,attr_627,attr_966,attr_80,attr_302,attr_375,attr_401,attr_458,attr_720,attr_852,attr_696,attr_112,attr_477,attr_496,attr_580,attr_591,attr_779,attr_932,attr_178,attr_56,attr_495,attr_400,attr_650,attr_342,attr_682,attr_225,attr_374,attr_492,attr_4,attr_471,attr_937,attr_148,attr_647,attr_793,attr_688,attr_940,attr_30,attr_244,attr_290,attr_198,attr_453,attr_735,attr_24,attr_207,attr_903,attr_219,attr_794,attr_746,attr_608,attr_142,attr_311;sku,attr_290,sku,attr_582,attr_937;sku,attr_766,attr_495,attr_477,attr_793
fam_23;"Et dolorum deserunt.";"Deserunt cumque vel.";name;sku,name,attr_347,attr_753,attr_687,attr_301,attr_658,attr_1,attr_716,attr_164,attr_256,attr_311,attr_550,attr_657,attr_650,attr_158,attr_644,attr_297,attr_572,attr_907,attr_382,attr_42,attr_102,attr_534,attr_115,attr_55,attr_112,attr_548,attr_704,attr_25,attr_370,attr_138,attr_863,attr_577,attr_965,attr_79,attr_682,attr_537,attr_230,attr_462,attr_862,attr_575,attr_125,attr_634,attr_270,attr_170,attr_980,attr_422,attr_136,attr_779,attr_49,attr_219,attr_144,attr_180,attr_774,attr_87,attr_888,attr_982,attr_805,attr_913,attr_175,attr_420,attr_197,attr_970,attr_646,attr_519,attr_490,attr_649,attr_533,attr_831,attr_187,attr_64,attr_593,attr_638,attr_503,attr_909,attr_168,attr_705,attr_559,attr_99,attr_746,attr_849,attr_773,attr_220,attr_556,attr_901,attr_838,attr_40,attr_554,attr_971,attr_243,attr_713,attr_956,attr_742,attr_702,attr_654,attr_685,attr_421,attr_772,attr_383,attr_679;sku,attr_556,attr_220,attr_421,attr_685;sku,attr_170,attr_220,attr_685,attr_862
