sku;family;attr_43-en_US-ecommerce;attr_43-en_US-ecommerce-unit;attr_43-en_US-print;attr_43-en_US-print-unit;attr_51;attr_51-unit;attr_94;attr_53;attr_23;attr_85;attr_87;attr_87-unit;attr_49;attr_40;attr_9;attr_17;attr_64;attr_64-unit;attr_29-USD;attr_93;attr_78;attr_10;attr_59-en_US;attr_80;attr_70-USD;attr_8;attr_5;attr_30;attr_18;attr_18-unit;attr_38-USD;attr_56-en_US;attr_56-en_US-unit;attr_60;attr_27;attr_13;attr_46;attr_3;attr_83-en_US-ecommerce;attr_83-en_US-print;attr_55;attr_57;attr_72;attr_96-USD;attr_76;attr_25;attr_21;attr_95;attr_95-unit;attr_7;categories;attr_50-USD;attr_84;attr_81;attr_32;attr_47-en_US;attr_20;attr_89;attr_52;attr_48-USD;attr_90;attr_28;attr_33-USD;attr_67;attr_88;attr_79;attr_66;attr_68;attr_54;attr_86;attr_0-USD;attr_75;attr_44;attr_44-unit;attr_62;attr_14-en_US;attr_58;attr_73;attr_92-en_US;attr_65;attr_39;attr_63;attr_98;attr_34;attr_34-unit;attr_99-ecommerce;attr_99-print;attr_45;attr_45-unit;attr_35;attr_82;attr_77;attr_6-en_US;attr_2;attr_37;attr_26;attr_69;attr_1;attr_1-unit;attr_11;attr_91-en_US-USD;attr_41;attr_22;attr_4;attr_61;attr_31;attr_16-en_US;attr_24;attr_36;attr_15;attr_15-unit;attr_74;attr_12;attr_71;attr_97;attr_19;attr_19-unit;attr_42
id-16;fam_6;;;;;;;;;1980-12-23;;;;"Quibusdam dolorem dolor vitae fugit.";0;;308;366;METER;;1;;;;735;504;0;;;;;292;291;METER;;1;;;;;;attr_opt_attr_55124;;"In ut est consectetur asperiores et expedita.";415;;;834;;;;master_0_4_0,master_4_0_5;;;;;;;"Sed expedita sapiente temporibus vel eveniet.";;;;;;;;1977-03-28;;"Quae consectetur qui repellendus voluptas enim recusandae.";;1;;;574;METER;;;;;1980-04-17;1;;;;;;;;;;;attr_opt_attr_82152;;;;attr_opt_attr_37135;;994;;;;;1986-05-22;;;1;;2012-01-06;0;;;;;attr_opt_attr_12187;;;;;
id-17;fam_14;;;;;138;METER;;;;;712;METER;;;;;;;;;;;;;;;;0;;;;;;attr_opt_attr_6096;1;;;attr_opt_attr_3143;;;;;"Praesentium laboriosam culpa neque.";;;attr_opt_attr_25165;;338;METER;;master_2_2_2,master_2_5_1;;;;;;;"Aliquid rerum aut placeat pariatur id.";;626;;;;"Autem quia voluptate ad minus provident optio.";;;;;;;;;;;;attr_opt_attr_14163;attr_opt_attr_5830;1;;0;1;;;;;;;;;;attr_opt_attr_8222;;;;attr_opt_attr_37124;"Eius similique reprehenderit et sed excepturi aspernatur.";;;;;606;;;69;;;;1;;;;;attr_opt_attr_12119;0;"Consequatur vel id sit possimus aut iusto qui.";;;
id-18;fam_15;;;;;;;;attr_opt_attr_53153;1979-05-27;;;;;0;2012-06-06;;;;939;1;;;;98;422;1;;0;;;;509;METER;;0;138;;;;;;attr_opt_attr_5744;"Nisi cupiditate aperiam molestiae quae.";952;;;49;723;METER;attr_opt_attr_75;master_5_1_4,master_5_6_1;;;;;;;;;6;;;;;;;;"Culpa atque ullam vitae ullam provident veniam aperiam.";;;31;;;;;;;;2012-09-07;;;;;;;;;;;;attr_opt_attr_82170;;;"Natus sit qui numquam praesentium voluptas tempore voluptatibus.";attr_opt_attr_378;"Et non molestiae laboriosam est dolorem cupiditate.";;;;;536;2002-06-20;;147;0;;;;;;;;attr_opt_attr_122;0;;;;
id-19;fam_1;;;;;382;METER;attr_opt_attr_94134;;;attr_opt_attr_85178;80;METER;;1;1970-10-03;187;;;;;;;;633;;;;1;;;;;;attr_opt_attr_6024;;444;;;;;;attr_opt_attr_57170;"Totam deserunt commodi quaerat est enim ut qui.";;;;;;;;master_2_2_5,master_3_2_5;388;;;;attr_opt_attr_47197;;"Recusandae consequuntur praesentium at minima.";;;;;;;0;;;;;1;;;;;;attr_opt_attr_14173;;;2010-05-15;;0;;;;;;;;;;;;;;attr_opt_attr_37199;"Facere et dolor sapiente esse.";;874;METER;;;;;182;1;;;0;;722;METER;;;1;"Quisquam perspiciatis itaque dicta adipisci magni consequuntur dolorem.";15;METER;
id-20;fam_11;;;;;;;attr_opt_attr_94134;;;attr_opt_attr_8595;;;;;;555;;;966;1;;;;436;;;;0;;;958;;;;;;;;;;;;"Nam aut voluptatem tempore autem.";428;;;456;30;METER;;master_4_4_1,master_0_0;;;;;;;"Aut sint delectus ipsam.";;;;;;"Neque excepturi explicabo quod adipisci fugit voluptatem esse.";1;1990-02-21;;;;0;487;;;;;;;;1988-07-04;1;;;;591;METER;;;628;METER;;;;;;;;;170;METER;;114;;;31;1;;;1;;;;;;0;"In qui voluptatem vitae reprehenderit quam maiores maxime.";;;2002-10-19
id-21;fam_14;140;METER;765;METER;888;METER;;attr_opt_attr_53177;;attr_opt_attr_85149;;;;;;25;;;691;;;;;;;;;;813;METER;;;;attr_opt_attr_60157;;;;;;;;;;;;attr_opt_attr_2519;718;582;METER;;master_0,master_6_6;;;;;;;"Expedita quia veniam neque hic voluptates voluptatem.";;645;;;;"Sed saepe vitae itaque ut in.";;;;;;;;;;;;attr_opt_attr_146;attr_opt_attr_5855;1;1980-08-05;;0;attr_opt_attr_6355;"Magnam aut impedit doloribus laboriosam sed.";;;;;;;;attr_opt_attr_82165;;;;attr_opt_attr_3755;;547;;;;219;;;639;;;;0;;;;;;0;"Quia quis tempora perspiciatis deserunt saepe nulla.";;;
id-22;fam_3;493;METER;834;METER;;;attr_opt_attr_9413;;;;;;;;;906;526;METER;;;;;;;;;;1;;;771;;;attr_opt_attr_60115;0;;701;attr_opt_attr_368;;;;;;;;attr_opt_attr_2518;;;;attr_opt_attr_7168;master_1,master_0_5_3;949;;;;;;;;580;"Pariatur aliquam at qui laborum qui ullam.";;;"Voluptatem aut qui pariatur iure eveniet.";;;;"Veniam excepturi et pariatur magnam possimus.";;;;;;;;;;;1985-01-09;;1;;;;;;;;;;attr_opt_attr_82173;;;"Voluptas repellendus a vero sunt officiis dolorem.";attr_opt_attr_3753;;158;;;;256;;;;0;;;1;;706;METER;;;;;;;1981-09-08
id-23;fam_2;540;METER;446;METER;;;;;;;200;METER;"Ducimus est ullam sit veritatis sed odit.";1;1986-04-27;;68;METER;588;;;;;969;;0;;0;302;METER;;83;METER;;0;;381;attr_opt_attr_3109;;;;attr_opt_attr_57181;;569;;;;;;attr_opt_attr_7105;master_5_6_2,master_5_4_3;;;;;;;;;;;;;;0;;;;;;;;;;;attr_opt_attr_1416;;1;1980-08-12;0;;attr_opt_attr_63186;;;;;;;;;;;;;attr_opt_attr_37146;;;;;;;;;451;0;;;;0;;;;;;"Eaque mollitia cupiditate beatae et fugiat et.";;;2005-06-02
id-24;fam_6;;;;;;;;;2011-03-05;;;;;1;;;513;METER;;0;;;;314;746;0;;;;;829;664;METER;;0;87;;;;;attr_opt_attr_55180;;"Ipsam dolorum corrupti aut molestiae fugiat porro est.";938;;;38;;;;master_0_2_3,master_4_6_5;206;;;;;;"Ex quia quo voluptatum molestias est at.";;;"Ut incidunt in assumenda dolorem.";;;;;2006-11-25;;"Ullam temporibus placeat impedit quia.";;;;;;;;;;;1989-03-19;0;;;;;;;;;;;attr_opt_attr_8274;;;;attr_opt_attr_37152;;611;;;;;2012-01-26;;;0;;1972-05-18;1;;;;;attr_opt_attr_1216;;;;;
id-25;fam_2;989;METER;237;METER;;;;;;;;;"Voluptatibus dolores ut architecto et quasi quae alias nam.";1;1973-09-13;;931;METER;;;;;;740;;1;;;;;;993;METER;;1;;876;attr_opt_attr_329;;;;attr_opt_attr_57150;;720;;attr_opt_attr_2552;;;;attr_opt_attr_717;master_5_5_6,master_2_6;216;;;;attr_opt_attr_4774;;;;785;"Eum odit minima quos sapiente fuga consequatur distinctio cumque.";;;"Maxime magni eum nostrum corrupti.";1;;;;;;;;;;;attr_opt_attr_1423;;0;1985-12-15;0;;attr_opt_attr_6338;;;;;;888;METER;;;;;;attr_opt_attr_3722;;;;;;;1988-05-21;;108;0;;;0;0;;;;;;"Vitae rerum ad praesentium hic numquam tenetur excepturi qui.";;;1975-05-12
id-26;fam_11;;;;;;;attr_opt_attr_94177;;;attr_opt_attr_8596;;;;0;;;;;;;;;;878;;;;0;;;;;;;;;;;;;;;"Et architecto qui pariatur harum.";163;;;;;;;master_5_3_6,master_1_1_6;443;;;;;;;;;;;;"Voluptas ipsam repellat et id.";;1974-03-01;;;attr_opt_attr_5493;1;307;;;;;;;1;1970-08-09;;;;;409;METER;;;998;METER;;;;;;attr_opt_attr_3745;;;488;METER;;992;;;998;;;1974-12-13;;;318;METER;;;0;;;;1990-05-11
id-27;fam_19;584;METER;463;METER;;;;;2003-03-15;attr_opt_attr_8573;;;"Quia omnis rerum itaque maxime.";;;551;793;METER;;;;;;575;;;;;;;;;;attr_opt_attr_6098;;;;;;;;attr_opt_attr_5719;;586;;attr_opt_attr_2595;;808;METER;attr_opt_attr_745;master_6_0_4,master_5_0;;;;;attr_opt_attr_4771;;;;;"Omnis voluptatem consequatur quo iste omnis harum molestiae.";;106;"Odit nulla aut omnis neque.";1;;;"Rerum dolores perferendis ipsum.";attr_opt_attr_54188;1;47;;625;METER;;attr_opt_attr_14149;;0;;;;;;;;;;;;;attr_opt_attr_82169;;;;;;;;;;887;;;;;;;1;;;;;;;;;;
id-28;fam_10;;;;;;;;;;attr_opt_attr_8564;530;METER;"Suscipit est quia laudantium magni architecto quisquam.";;1993-07-08;;;;891;;;;;;31;;;;;;;681;METER;;;;357;attr_opt_attr_329;;;;;;;;;;;;;master_2_0_1,master_2_4;;;;;attr_opt_attr_47150;;;;431;;;64;"In officia magni praesentium autem.";0;;;;attr_opt_attr_54177;1;;;;;;attr_opt_attr_14153;attr_opt_attr_5897;0;1985-09-05;;;;;;;;;560;METER;;attr_opt_attr_82164;1;;;;;;;;;;;;;1;;1980-02-27;;0;;;;attr_opt_attr_1290;;;;;
id-29;fam_6;;;;;;;;;1992-03-17;;;;"Expedita ut sint minima aut.";1;;650;987;METER;;0;;;;527;519;;;;;;390;795;METER;;1;;;;;;attr_opt_attr_5565;;"Voluptas quae dolor et et.";426;;;966;;;;master_1_2_5,master_3_4_1;610;;;;attr_opt_attr_47116;;;;;;;;;;2013-01-04;;"Reiciendis delectus quos modi veritatis repellat minima.";;1;677;;843;METER;;;;;;0;;;;;;;;;;;;;;;;;215;;;;;2005-09-21;;;0;;2015-05-10;1;;;;;;;;;;
id-30;fam_1;;;;;864;METER;;;;attr_opt_attr_8515;699;METER;;0;;565;;;;;;;;989;;;;1;;;;;;attr_opt_attr_6088;;878;;;;;;attr_opt_attr_57149;"Voluptatum porro itaque dolor autem qui ullam consequatur.";;;;;;;;master_1_3_2,master_5_4_1;477;;;;attr_opt_attr_4762;;"Esse aliquid et sed qui.";;;"Delectus sed quam ut cum fugit porro et.";;;;1;;;"Qui nostrum cumque dolorem esse repellendus minus.";;1;;;;;;attr_opt_attr_14138;;;1994-06-16;;1;;;;;;;;;;attr_opt_attr_82136;;;;attr_opt_attr_371;"Facere qui debitis ipsam minus maiores soluta ut veniam.";;642;METER;;;;;;;;1983-10-21;0;;;;;;0;"Et dolorem qui aut necessitatibus nemo.";67;METER;
id-31;fam_15;;;;;;;;;1979-12-06;attr_opt_attr_8585;;;"Necessitatibus autem sit fuga rem et ullam at.";0;1999-07-22;;;;139;0;;;;113;;;;;;;;;;attr_opt_attr_60160;0;863;;;;;;;"Est aut cupiditate aperiam voluptates voluptatem.";808;;;;937;METER;attr_opt_attr_77;master_6_6_4,master_0_5_4;;;;;;;;;;;;;;;;;;;;612;;;;;;;1;1999-04-22;;;;;827;METER;;;;;;attr_opt_attr_8274;;;"Aliquid facere voluptate quis vero tempore.";attr_opt_attr_3716;"Saepe et at et ipsam eos id.";;;;;979;;;565;1;;;;;;;;;0;;;;
id-32;fam_14;511;METER;605;METER;;;;attr_opt_attr_5368;;;;;;;;984;;;316;1;;;;;;;;0;831;METER;;;;attr_opt_attr_60146;0;;;attr_opt_attr_3142;;;;;;;;;575;108;METER;;master_3_1_5,master_3_0_5;;;;;;;"Amet provident aut iusto praesentium ut.";;305;;;268;"Explicabo fugit nihil commodi quaerat pariatur nemo.";;;;;;;;;;;;;attr_opt_attr_58160;0;2003-12-14;1;1;;;;;;;;;;attr_opt_attr_82109;;;;attr_opt_attr_3722;"Et ut quia sed.";;;;;45;;;82;;;;1;;;;;;1;"Qui aut aut voluptatum illum laborum qui.";;;
id-33;fam_3;739;METER;500;METER;;;attr_opt_attr_94105;;;;;;"Aliquid omnis eius ea ex neque velit.";;;21;684;METER;;;;;;;;;;;;;;;;attr_opt_attr_6033;0;;313;;;;attr_opt_attr_5566;attr_opt_attr_57159;;;;attr_opt_attr_2510;;;;attr_opt_attr_7138;master_2_4_1,master_4_2;347;;;;;;;;;;;317;;;2002-11-17;;"Aut nihil architecto rerum repellat asperiores eaque.";;;;;;;;attr_opt_attr_1469;;;2011-12-21;1;;;;;;;;;;;attr_opt_attr_82114;1;;"Modi rem nemo corrupti cumque enim quam.";attr_opt_attr_37136;;85;;;;722;;;;0;;;;;;;;;;;;;1985-11-17
id-34;fam_10;;;;;594;METER;;;;attr_opt_attr_85122;;;;;1983-04-19;775;814;METER;227;;;;;;263;1;;;596;METER;;671;METER;;;;118;attr_opt_attr_349;;;;attr_opt_attr_57107;;;;;480;600;METER;;master_5_6_0,master_4_4_6;;;;;attr_opt_attr_47175;;"Aut occaecati qui nihil veniam.";;1000;"Est facere cupiditate modi consequatur et.";;426;"Aut ab placeat sapiente quae nostrum.";1;;;;attr_opt_attr_5479;0;;;;;;attr_opt_attr_1410;attr_opt_attr_58118;1;1987-04-09;;;;"Commodi beatae natus voluptatibus ea qui et autem.";;;;;209;METER;;;0;;;;;;;;;;;;;;;1984-12-18;;1;;;;attr_opt_attr_1248;;;;;
id-35;fam_6;;;;;;;;;1985-01-16;;;;"Modi aspernatur nobis optio.";;;975;825;METER;;1;;;;576;946;0;;;;;199;58;METER;;0;;;;;;attr_opt_attr_5572;;"Modi laudantium hic tenetur molestiae possimus odio non.";774;;;855;;;;master_6_1_4,master_3_2_1;359;;;;;;"Iusto nisi eos aut velit.";;;"Quaerat in illum quis quidem optio sit est error.";;;;;1972-10-11;;"Velit exercitationem incidunt dicta est et nisi provident.";;0;297;;564;METER;;;;;1984-10-05;0;;;;;;;;;;;attr_opt_attr_8269;;;;;;457;86;METER;;;1970-02-24;;;1;;2011-06-04;0;;;;;attr_opt_attr_12111;;;;;
id-36;fam_2;;;;;;;;;;;;;"Ullam non nulla labore aut sit eligendi.";0;;;556;METER;;1;;;;900;;;;0;989;METER;;989;METER;;0;;747;attr_opt_attr_3152;;;;;;837;;attr_opt_attr_25160;;;;;master_1_3_0,master_5_0_6;133;;;;;;;;806;;;;;0;;;;;;;;;;;attr_opt_attr_14180;;1;2000-05-08;1;;attr_opt_attr_6332;;;;;;230;METER;;;;;;attr_opt_attr_37171;;;574;METER;;;2001-02-15;;889;1;1;;1;1;;;;;;"Rerum reiciendis necessitatibus iste necessitatibus.";;;1977-10-28
