attribute;code;sort_order;label-fr_FR;label-en_US;label-de_DE;label-ru_RU;label-it_IT
attr_68;attr_opt_attr_689;3;"Et magnam sunt.";"Non dolorem.";"Nobis sed.";"Error nemo.";"Delectus facere."
attr_73;attr_opt_attr_730;2;"Doloremque sit ut.";"Blanditiis dolore rem.";"Consectetur sed.";"Asperiores alias.";"Veniam iste."
attr_73;attr_opt_attr_731;4;"Voluptatem rem libero.";"Illo ipsam.";"Laboriosam culpa.";"Dolorem ut.";"Excepturi fuga id."
attr_73;attr_opt_attr_732;7;"Sint et veritatis.";"Hic aperiam et.";"Voluptas at.";"Quasi eos non.";"Quia voluptatum a."
attr_73;attr_opt_attr_733;4;"Aut cupiditate aut.";"Earum adipisci.";"Numquam voluptate.";"Eligendi libero.";"Nulla voluptas."
attr_73;attr_opt_attr_734;5;"Nostrum explicabo sed.";"Cumque aut.";"Suscipit repellendus sit.";"Iusto et sed.";"Sint explicabo provident."
attr_73;attr_opt_attr_735;3;"Dicta odio.";"Eligendi necessitatibus eum.";"Omnis unde accusamus.";"Totam repellat.";"Facere maxime."
attr_73;attr_opt_attr_736;6;"Ratione minus.";"Ut qui quo.";"Et voluptatibus facilis.";"Voluptas molestiae.";"Laboriosam corrupti quis."
attr_73;attr_opt_attr_737;2;"Beatae et similique.";"Odio sit.";"Doloribus dolores perferendis.";"Laudantium porro porro.";"Nostrum aliquam itaque."
attr_73;attr_opt_attr_738;9;"Laboriosam et.";"Omnis vel.";"Quia culpa.";"Qui sequi officiis.";"Doloremque voluptatibus."
attr_73;attr_opt_attr_739;9;"Eligendi culpa.";"Quis beatae laudantium.";"Exercitationem est aut.";"Ipsam et.";"Et quisquam."
